"","combination","SumsOfSqs","MeanSqs","F.Model","R2","P.value","P.value.corrected"
"1","Geyser <-> Karst-Porous",4241504.26712932,4241504.26712932,7.8512075802928,0.167577485955672,0.0072,0.027
"2","Geyser <-> Mine",247426.331364629,247426.331364629,0.331211232087914,0.0130752228566298,0.5994,0.746307692307692
"3","Geyser <-> Porous",34875.7263761385,34875.7263761385,0.0473640307834555,0.00181838095891313,0.8422,0.902357142857143
"4","Geyser <-> Porous_Contaminated",162862.093822565,162862.093822565,0.258148273382368,0.00325705658037765,0.6026,0.746307692307692
"5","Geyser <-> Subsurface saline",3186539.86647752,3186539.86647752,5.01408079925065,0.135464144751966,0.0268,0.067
"6","Karst-Porous <-> Mine",2337703.15758723,2337703.15758723,11.5411212078078,0.390679863726955,0.0064,0.027
"7","Karst-Porous <-> Porous",986681.491611304,986681.491611304,4.55600426814956,0.193411591214127,0.045,0.0964285714285714
"8","Karst-Porous <-> Porous_Contaminated",7386587.05099172,7386587.05099172,15.2781650616764,0.175051400895972,4e-04,0.006
"9","Karst-Porous <-> Subsurface saline",2277.79189302119,2277.79189302119,0.0107307574156676,0.000429046137026041,0.9232,0.9232
"10","Mine <-> Porous",281828.797064456,281828.797064456,0.818580086892673,0.140683822284523,0.5716,0.746307692307692
"11","Mine <-> Porous_Contaminated",121420.446361478,121420.446361478,0.217245221871362,0.0037316300529752,0.6468,0.746307692307692
"12","Mine <-> Subsurface saline",2200455.09855877,2200455.09855877,8.30827810632104,0.430296169372095,0.0196,0.0588
"13","Porous <-> Porous_Contaminated",148100.627437504,148100.627437504,0.265707407671925,0.00448332466267887,0.6096,0.746307692307692
"14","Porous <-> Subsurface saline",931630.62923436,931630.62923436,3.30544995983537,0.215965552695905,0.095,0.178125
"15","Porous_Contaminated <-> Subsurface saline",5045153.34929988,5045153.34929988,9.6232189150835,0.128957435165509,0.0024,0.018
