"","combination","SumsOfSqs","MeanSqs","F.Model","R2","P.value","P.value.corrected"
"1","Geyser <-> Karst-Porous",0.839091373053205,0.839091373053205,12.8130397901327,0.247293728413379,2e-04,0.0015
"2","Geyser <-> Mine",0.258430710619208,0.258430710619208,3.34468253337877,0.118000352603705,0.013,0.01625
"3","Geyser <-> Porous",0.25905218921495,0.25905218921495,3.57827997652356,0.120976607813695,0.0084,0.0126
"4","Geyser <-> Porous_Contaminated",0.364002462270941,0.364002462270941,4.33697652061196,0.0520414430866625,8e-04,0.003
"5","Geyser <-> Subsurface saline",0.290442317084705,0.290442317084705,4.19419383714745,0.115880294392489,0.0012,0.0035
"6","Karst-Porous <-> Mine",0.202561486328868,0.202561486328868,3.03960579568104,0.144470662863132,0.0048,0.008
"7","Karst-Porous <-> Porous",0.235858142363515,0.235858142363515,3.89621676212265,0.170168582984774,0.0014,0.0035
"8","Karst-Porous <-> Porous_Contaminated",0.90933820599329,0.90933820599329,11.1001135014013,0.133575190618893,2e-04,0.0015
"9","Karst-Porous <-> Subsurface saline",0.375166177884632,0.375166177884632,6.3208814163275,0.201810457768038,4e-04,0.002
"10","Mine <-> Porous",0.180473493073517,0.180473493073517,1.7096216423545,0.254801497533409,0.086,0.086
"11","Mine <-> Porous_Contaminated",0.239721847544339,0.239721847544339,2.63530536179025,0.0434615665917121,0.025,0.0267857142857143
"12","Mine <-> Subsurface saline",0.19096418257938,0.19096418257938,2.43835380936196,0.181447359100135,0.0162,0.0186923076923077
"13","Porous <-> Porous_Contaminated",0.275083526271934,0.275083526271934,3.10523525623069,0.0499995731989303,0.011,0.015
"14","Porous <-> Subsurface saline",0.184017915610574,0.184017915610574,2.71907216583993,0.184731220501137,0.0022,0.004125
"15","Porous_Contaminated <-> Subsurface saline",0.36225504952478,0.36225504952478,4.23476589510972,0.0611653096585228,0.0018,0.00385714285714286
