"","combination","SumsOfSqs","MeanSqs","F.Model","R2","P.value","P.value.corrected"
"1","Geyser <-> Karst-Porous",410120561.634684,410120561.634684,14.4802144579281,0.270758346889567,4e-04,0.002
"2","Geyser <-> Mine",190615157.041667,190615157.041667,4.71010465333449,0.158535444701164,0.0396,0.066
"3","Geyser <-> Porous",206866279.339286,206866279.339286,5.09297751493939,0.163798321099751,0.0256,0.048
"4","Geyser <-> Porous_Contaminated",1202825.39384341,1202825.39384341,0.05591705655927,0.000707310200693327,0.819,0.819
"5","Geyser <-> Subsurface saline",1912929.39264704,1912929.39264704,0.0642475253367606,0.00200371224323892,0.8112,0.819
"6","Karst-Porous <-> Mine",10558902.7852941,10558902.7852941,0.674159552626524,0.0361011991317008,0.43,0.645
"7","Karst-Porous <-> Porous",5882928.80672271,5882928.80672271,0.342604120285911,0.0177124092575828,0.5426,0.67825
"8","Karst-Porous <-> Porous_Contaminated",495732991.795512,495732991.795512,36.8138888549548,0.338319760853566,2e-04,0.0015
"9","Karst-Porous <-> Subsurface saline",303280056.93159,303280056.93159,34.0051526941083,0.576308189055898,2e-04,0.0015
"10","Mine <-> Porous",809089.71428572,809089.71428572,0.0173328180627055,0.00345458806326468,0.7714,0.819
"11","Mine <-> Porous_Contaminated",191062067.37193,191062067.37193,12.6402490088876,0.178938341614528,0.0042,0.0126
"12","Mine <-> Subsurface saline",185894342.4,185894342.4,15.7160562948946,0.588262583422461,0.0124,0.0265714285714286
"13","Porous <-> Porous_Contaminated",210288198.848433,210288198.848433,13.4708961441264,0.185880082362114,0.0026,0.00975
"14","Porous <-> Subsurface saline",196269312.114286,196269312.114286,13.5014642962225,0.529438785921892,0.0096,0.024
"15","Porous_Contaminated <-> Subsurface saline",5275227.45053682,5275227.45053682,0.419315958775322,0.0064096659011164,0.5186,0.67825
