"","combination","SumsOfSqs","MeanSqs","F.Model","R2","P.value","P.value.corrected"
"1","Geyser <-> Karst-Porous",23246.1304559322,23246.1304559322,2.18011968523466,0.0529410720973779,0.1488,0.66
"2","Geyser <-> Mine",11373.8247883062,11373.8247883062,2.34637670301586,0.0858021056499633,0.1064,0.66
"3","Geyser <-> Porous",25.2097543622163,25.2097543622163,0.00592713482871502,0.000227914767198476,0.9794,0.9794
"4","Geyser <-> Porous Contaminated",50009.7198077903,50009.7198077903,5.64475339284948,0.0666875756215072,0.0208,0.312
"5","Geyser <-> Subsurface saline",5942.45580300548,5942.45580300548,1.52549447885808,0.0455025198754365,0.2252,0.66
"6","Karst-Porous <-> Mine",734.880161760303,734.880161760303,0.0406441426692896,0.00225292081301904,0.9158,0.9794
"7","Karst-Porous <-> Porous",6739.26705152113,6739.26705152113,0.406682236639315,0.0209557837697527,0.5682,0.8523
"8","Karst-Porous <-> Porous Contaminated",484.65545771714,484.65545771714,0.0385935775889538,0.000535734745395697,0.8514,0.9794
"9","Karst-Porous <-> Subsurface saline",2349.59980600175,2349.59980600175,0.178582359488249,0.00709262963810003,0.6974,0.951
"10","Mine <-> Porous",6717.18007811303,6717.18007811303,1.66332607192812,0.249623994679704,0.2866,0.66
"11","Mine <-> Porous Contaminated",338.134696611183,338.134696611183,0.0321764825553822,0.000554459344895578,0.8712,0.9794
"12","Mine <-> Subsurface saline",3039.77824148212,3039.77824148212,0.975979641671762,0.0814947645932639,0.3296,0.66
"13","Porous <-> Porous Contaminated",9992.17240650985,9992.17240650985,0.984355295359657,0.0164102004683179,0.352,0.66
"14","Porous <-> Subsurface saline",1976.70838394958,1976.70838394958,1.00252464801603,0.0771023070638053,0.331,0.66
"15","Porous Contaminated <-> Subsurface saline",5489.27612532274,5489.27612532274,0.582082676893746,0.00887563573974189,0.4628,0.771333333333333
