"","combination","SumsOfSqs","MeanSqs","F.Model","R2","P.value","P.value.corrected"
"1","Geyser <-> Karst-Porous",3.26601953577861,3.26601953577861,14.2083946238298,0.267032950801836,2e-04,5e-04
"2","Geyser <-> Mine",0.984411550915393,0.984411550915393,3.84274232383187,0.13323082391707,0.0058,0.00790909090909091
"3","Geyser <-> Porous",1.3067369214271,1.3067369214271,5.16637836153493,0.165767684060179,4e-04,0.000857142857142857
"4","Geyser <-> Porous Contaminated",3.41869822873535,3.41869822873535,12.3750558272606,0.135431444776952,2e-04,5e-04
"5","Geyser <-> Subsurface saline",1.93029927069682,1.93029927069682,7.71266396400717,0.194211699597826,2e-04,5e-04
"6","Karst-Porous <-> Mine",0.555754908452349,0.555754908452349,2.77579186149361,0.133607030721093,0.0192,0.0205714285714286
"7","Karst-Porous <-> Porous",0.949515168194175,0.949515168194175,4.77810925163794,0.200945718647028,0.0018,0.003375
"8","Karst-Porous <-> Porous Contaminated",2.49254167357168,2.49254167357168,9.43358881547319,0.115843952755779,2e-04,5e-04
"9","Karst-Porous <-> Subsurface saline",1.44043707511338,1.44043707511338,6.9140577507807,0.216646150256827,2e-04,5e-04
"10","Mine <-> Porous",0.548578925779099,0.548578925779099,2.2569343747169,0.311003828638721,0.0854,0.0854
"11","Mine <-> Porous Contaminated",0.648107499256461,0.648107499256461,2.28325618481832,0.0378754620987666,0.0134,0.01675
"12","Mine <-> Subsurface saline",0.533840697523004,0.533840697523004,2.21764517913356,0.16777914288655,0.0148,0.0170769230769231
"13","Porous <-> Porous Contaminated",0.833058778280099,0.833058778280099,2.95459189014147,0.0476896352635263,0.0028,0.00466666666666667
"14","Porous <-> Subsurface saline",0.720890536896185,0.720890536896185,3.06782161008564,0.203600871411445,0.0042,0.0063
"15","Porous Contaminated <-> Subsurface saline",1.336267309105,1.336267309105,4.80726811557037,0.0688648652975738,2e-04,5e-04
