"","combination","SumsOfSqs","MeanSqs","F.Model","R2","P.value","P.value.corrected"
"1","Geyser <-> Karst-Porous",136353.543818747,136353.543818747,1.31654946970585,0.0326553112065086,0.2736,0.4104
"2","Geyser <-> Mine",249084.375,249084.375,2.14198792302239,0.0789178717895425,0.1216,0.202666666666667
"3","Geyser <-> Porous",680596.720238095,680596.720238095,5.52573908713656,0.175277067156571,0.0452,0.0998571428571429
"4","Geyser <-> Porous Contaminated",23063.3691520466,23063.3691520466,0.446318152044004,0.00561785822710931,0.5446,0.625714285714286
"5","Geyser <-> Subsurface saline",31223.706372549,31223.706372549,0.359960055071235,0.0111236248270592,0.6374,0.6374
"6","Karst-Porous <-> Mine",90673.224509804,90673.224509804,1.15311456670745,0.060205068094347,0.322,0.439090909090909
"7","Karst-Porous <-> Porous",349398.857843137,349398.857843137,3.88081196536191,0.169609888461864,0.0662,0.124125
"8","Karst-Porous <-> Porous Contaminated",310593.028421611,310593.028421611,8.63244780035291,0.107059230320367,0.005,0.0195
"9","Karst-Porous <-> Subsurface saline",212160.007843137,212160.007843137,4.13089062990698,0.14180447423966,0.0466,0.0998571428571429
"10","Mine <-> Porous",33560.0119047619,33560.0119047619,0.290013772521855,0.0548228766488825,0.542,0.625714285714286
"11","Mine <-> Porous Contaminated",334476.955263158,334476.955263158,13.3009490953574,0.186546592494425,0.0046,0.0195
"12","Mine <-> Subsurface saline",319576.656410256,319576.656410256,23.1330006956517,0.67773123441206,0.0052,0.0195
"13","Porous <-> Porous Contaminated",870145.245973543,870145.245973543,29.2738748694652,0.3316255790601,6e-04,0.009
"14","Porous <-> Subsurface saline",749129.15,749129.15,20.1028287706683,0.626201164834292,0.0078,0.0234
"15","Porous Contaminated <-> Subsurface saline",7430.94307410322,7430.94307410322,0.363959395036995,0.00556819688411699,0.584,0.625714285714286
