"Average Groups Contribution to dissimilarity","Porous Contaminated x Karst-Porous","Porous Contaminated x Mine","Porous Contaminated x Subsurface saline","Porous Contaminated x Porous","Porous Contaminated x Geyser","Karst-Porous x Mine","Karst-Porous x Subsurface saline","Karst-Porous x Porous","Karst-Porous x Geyser","Mine x Subsurface saline","Mine x Porous","Mine x Geyser","Subsurface saline x Porous","Subsurface saline x Geyser","Porous x Geyser"
"Acaryochloris",1.74960768265146e-05,2.34877811277793e-05,1.45501440222489e-05,1.59596847819674e-05,1.55720565945351e-05,2.07831209493793e-05,1.28799759818818e-05,1.23167582076134e-05,1.336532455341e-05,2.05700429661556e-05,1.87197051024837e-05,2.02944251272212e-05,1.03932209860993e-05,1.04822918326073e-05,1.06554596383296e-05
"Acetoanaerobium",1.51298555469588e-05,1.90384396639212e-05,4.94604971634042e-05,1.48370056107853e-05,1.49277937781738e-05,1.16684264585478e-05,5.01311940780054e-05,8.850139498676e-06,5.12142078134063e-06,5.02006124454446e-05,1.33030991873182e-05,1.1508746176948e-05,4.852128211834e-05,5.01537787546191e-05,8.71332426096753e-06
"Acetobacter",0.000106135036498425,9.82433386101071e-05,0.000105741225068982,8.52240249438765e-05,0.000102630806719163,9.26892498522254e-05,0.000123596873768162,7.83305535357709e-05,8.49286333212035e-05,0.000115215664667523,7.31922030098186e-05,7.83980246423683e-05,0.000108585047676263,0.000130420919812843,5.99911346402619e-05
"Acetobacterium",0.00064518086832258,0.000644105644844886,0.00666974435655627,0.000673280928933149,0.000640926476300091,3.89894734931395e-05,0.00664849499122118,0.000111081676331392,2.52160638319802e-05,0.0066405310748961,0.000104927923000388,3.22493935530514e-05,0.0065751812170604,0.00665537375791467,0.000112804024743739
"Acetohalobium",1.5516309666212e-05,2.79231655317153e-05,3.42599599039266e-05,1.55143357394401e-05,1.28068206668352e-05,2.82428491400434e-05,3.64855645246479e-05,1.38435081015153e-05,8.41284501460287e-06,4.02561530335033e-05,2.70072486563635e-05,2.80444391053322e-05,3.44311821150541e-05,3.58639109649552e-05,1.17423263000775e-05
"Acetomicrobium",3.26982727657751e-05,3.06314880389571e-05,3.61357310759759e-05,3.08075231516729e-05,3.9899659557194e-05,1.33924625155326e-05,2.15435727657446e-05,1.10026364781873e-05,2.14626030466069e-05,1.75050077471086e-05,9.60282185435887e-06,2.11979441815031e-05,2.07347552624184e-05,3.05211214936425e-05,1.78911115273051e-05
"Acholeplasma",5.41630012526211e-05,5.23681229880639e-05,0.000173830565941546,6.00077243890912e-05,5.35566681035828e-05,2.60015124378015e-05,0.000179965013661569,3.5377301653547e-05,9.85106067256943e-06,0.000168811895506354,3.59467394815023e-05,2.65113562991789e-05,0.000168335713365656,0.000181020697366031,3.379794895985e-05
"Achromobacter",0.000934668894236227,0.000616975458185354,0.000521903288330934,0.000582751505703179,0.000828458732735502,0.000788108978037382,0.000749502722515692,0.000804605811433586,0.00125180569105784,0.000440378547949784,0.000484076683989092,0.00094410768491981,0.000405774250092211,0.000841382424462062,0.000886702143020183
"Acidaminococcus",3.02676532233524e-05,3.46436424367515e-05,2.68897953353262e-05,3.71840123826378e-05,2.85294597984401e-05,3.10878956569343e-05,2.27632680070123e-05,3.31035378465267e-05,2.28367205037227e-05,2.62082201255476e-05,3.77784577923775e-05,3.05663649334881e-05,3.25835676471701e-05,2.15380824164344e-05,2.8681681425135e-05
"Acidianus",2.87183881077976e-05,2.89581913780687e-05,3.37442961868169e-05,2.46012953412272e-05,2.89843197331309e-05,1.18894070810691e-05,2.40495093611999e-05,1.82575543335162e-05,1.2050643565145e-05,2.33181982840574e-05,1.82184057096716e-05,1.10983182071856e-05,2.40624394705861e-05,2.31124210805631e-05,1.80687214780914e-05
"Acidiferrobacter",4.45405986815732e-05,3.05032493701779e-05,3.17893504698158e-05,3.22863873578755e-05,4.42745539186528e-05,3.94392341695877e-05,3.7508154555251e-05,3.99839079019707e-05,5.05053804454621e-05,2.83535682532626e-05,1.90655539873337e-05,3.44407520765383e-05,2.56210348539559e-05,4.22532474665697e-05,3.91749748973273e-05
"Acidihalobacter",0.000129535899323554,9.9774142185883e-05,0.000200090799019291,0.00011332143706322,0.00011803833382415,9.64653393551771e-05,0.000171515356334934,0.000104526681267765,0.000112404309883235,0.000206381297671238,7.8783499656501e-05,6.29481416829935e-05,0.00017723231747641,0.000196696086896457,9.70871048981439e-05
"Acidilobus",6.38567034418574e-06,6.42221441296649e-06,4.4504626570853e-06,9.61365370299429e-06,4.52236980232697e-06,7.15652713841798e-06,5.43999663425916e-06,1.00365275510572e-05,5.55207848591943e-06,5.53632618932571e-06,1.00030412680612e-05,5.02924134689605e-06,8.74142586332017e-06,2.89421340317033e-06,8.44162601138674e-06
"Acidimicrobium",3.79739792594676e-05,2.38261788866622e-05,2.92737286877919e-05,3.09065781048511e-05,3.70506727960766e-05,4.11898991485746e-05,4.3418920700764e-05,3.38127264554757e-05,5.33840407638548e-05,2.41719020260908e-05,2.97188394596923e-05,2.96586625064223e-05,3.52862758530254e-05,3.61212007515274e-05,4.39102449712924e-05
"Acidiphilium",8.74216471696683e-05,0.000144417414004,4.62501966422891e-05,5.13368783183737e-05,6.47182072534197e-05,0.000134830324728937,7.1920695742931e-05,9.67308578358901e-05,0.000106934825538699,0.000135308027670151,0.000150173323547708,0.00015230875614858,5.61108833382975e-05,7.19945532515814e-05,6.21305828549644e-05
"Acidipropionibacterium",8.43615006140644e-05,8.85579048890634e-05,5.39770583203759e-05,5.27220790770191e-05,7.29748052512829e-05,8.18909437648307e-05,7.80974727857245e-05,9.62760730853014e-05,0.000109159008972022,8.3175436036974e-05,0.000102101975799815,0.000109721204995326,5.06064100338457e-05,7.23889272473412e-05,5.60965094806383e-05
"Acidisphaera",7.22816567576205e-05,6.39552404848251e-05,4.08577338903641e-05,3.99562747921204e-05,4.90152250858304e-05,7.08581372340727e-05,6.15922164262837e-05,6.93070175398304e-05,8.73200698239472e-05,5.19734002736143e-05,5.82672560700639e-05,8.10239151073801e-05,3.77772495639674e-05,5.75685058618634e-05,5.18287271287062e-05
"Acidithiobacillus",0.000145232815188386,0.000116207443388081,0.000164395092605494,0.000123813319142388,0.000124061658812278,9.2555383631153e-05,0.000158084612123795,0.000114711002344444,0.000109616331545752,0.000149527822752435,9.09336479048403e-05,6.47683591535021e-05,0.000125285078158909,0.000138215286869472,9.0572253978388e-05
"Acidobacterium",6.20822147099075e-05,5.72350394589319e-05,4.37755569673135e-05,4.41319395048004e-05,5.60130700414538e-05,5.43528020249958e-05,4.41004260833358e-05,3.99684768482621e-05,5.85236440868469e-05,3.54017578437123e-05,3.84823679068072e-05,4.48174414673427e-05,1.92342955218157e-05,3.19911493478168e-05,3.56995226272597e-05
"Acidothermus",2.21701836999296e-05,2.75226465631165e-05,1.07924929098503e-05,1.29088481074345e-05,1.73213173246493e-05,2.37792274357596e-05,2.04186633479687e-05,2.39431477786399e-05,2.670209188115e-05,2.69157363818956e-05,3.12767788069267e-05,3.30169942194265e-05,8.25163547810147e-06,1.40875550238888e-05,1.2400453757642e-05
"Acidovorax",0.00339373660384438,0.00414371145018683,0.00400236900635066,0.00758953152504314,0.00342860840721212,0.00181883495717624,0.00163478361349785,0.00705666457239048,0.000849350701556804,0.00252264652417819,0.00557556379520604,0.00226706178188377,0.0064909958924192,0.00167281910051149,0.00774073833414029
"Aciduliprofundum",1.42112762838214e-05,1.50113706988516e-05,2.56529319910355e-05,1.3370854111397e-05,1.41881931886291e-05,4.23869783678134e-06,2.46598496072377e-05,6.30903600592101e-06,4.39902432895263e-06,2.59437288372644e-05,5.8552002474964e-06,2.65124727168143e-06,2.3483446659811e-05,2.49492365360953e-05,5.72670914091018e-06
"Acinetobacter",0.00270556372215468,0.00712287501494875,0.00269319405361829,0.00270133048905222,0.00283330059131781,0.0064550539943046,0.000342378677668564,0.000270210788509618,0.000324492759153912,0.00637416816367081,0.00643796532465543,0.00667342067417856,0.000316084151513256,0.00051119591547692,0.000374615903119372
"Actibacterium",1.44665668718258e-05,9.99481625090066e-05,6.63342344738086e-05,1.46841524406785e-05,1.36721024761764e-05,9.88993326485335e-05,6.63390007282952e-05,1.10377124559703e-05,9.6652472177181e-06,0.000116179166602592,9.88423356903946e-05,9.85853459823321e-05,6.6157098043245e-05,6.74255325127978e-05,9.76660434580504e-06
"Actinoalloteichus",0.000169401667528829,0.000123145727884456,6.91036818373226e-05,8.21041837905825e-05,0.000139187718119053,0.000142008810147476,0.000156842910917742,0.000181280851951474,0.000227619643364164,0.000102074600690915,0.000129304995727051,0.000183324144144602,6.61498004142572e-05,0.000129522726768543,0.000125430605935514
"Actinobacillus",4.44161224014577e-05,3.72557776006277e-05,5.52334465127719e-05,4.13530878215733e-05,4.37135546321065e-05,2.70242106695903e-05,5.40135083520187e-05,3.40812703796498e-05,1.78951512568188e-05,4.57431319888235e-05,2.86725250569361e-05,2.28432650314702e-05,5.04566712388478e-05,5.41840142430187e-05,3.09314335207281e-05
"Actinobaculum",6.84888043384944e-06,6.73292713303767e-06,5.81762607846193e-06,5.6499436115377e-06,6.28763525235031e-06,7.42115313429413e-06,6.09395135238635e-06,6.39591878538378e-06,6.97339734114454e-06,6.29892823214478e-06,4.90920093044897e-06,5.6830025349854e-06,4.75195598312761e-06,5.43854202698785e-06,3.88155435814697e-06
"Actinomadura",6.90591235515498e-05,6.92845083394297e-05,2.68106214825277e-05,3.76261850192867e-05,6.00276523083394e-05,5.84539715383052e-05,7.18367616482807e-05,7.85495904880737e-05,9.87032109214745e-05,7.02623078137325e-05,7.84107622184407e-05,9.61516858495019e-05,3.06523592332583e-05,5.20582634925462e-05,5.61087511070355e-05
"Actinomyces",0.000259828871697315,0.000566270654656837,0.000185907504775083,0.000145541500003098,0.000233580455902348,0.00048679157767576,0.00024111824219122,0.000285797427923834,0.000353811969993095,0.000534905822814892,0.000590994079858621,0.000577179507273312,0.000179697790407629,0.000268183946993667,0.00019169002948611
"Actinoplanes",0.000637757504966599,0.00161625290195667,0.000213216499506304,0.000257585888833858,0.000508758004308686,0.00147003962355889,0.000647597228176403,0.000678195946031842,0.000889852084818535,0.0016178603834726,0.00164273354878339,0.00170966913761749,0.000194455725644663,0.00046210149619195,0.000465427431132897
"Actinopolymorpha",6.28281123676475e-05,4.48895025538863e-05,2.52056342759438e-05,3.24151396106195e-05,5.45795976429878e-05,6.40138795653026e-05,6.38141084417202e-05,7.03523749430375e-05,8.67855266547042e-05,3.98514548250651e-05,4.53568900534837e-05,6.36774089434904e-05,2.47394847741104e-05,4.71850156673757e-05,4.87449018310852e-05
"Actinopolyspora",3.55473165379414e-05,1.4858131496864e-05,1.41331777542489e-05,1.8351998614557e-05,2.58090810344424e-05,3.33819177298098e-05,3.54645989340689e-05,3.96387669931333e-05,4.56801834177093e-05,8.58584668550844e-06,1.58716336393148e-05,2.36081431861063e-05,1.41923452283474e-05,2.13775013871706e-05,2.21933112443357e-05
"Actinosynnema",0.000107148405816309,9.10525672600392e-05,4.38890944266538e-05,5.89783961969523e-05,0.000110171090028179,0.000108613347019165,0.000109112427661645,0.00011943934621483,0.000160149282754498,8.4821018416262e-05,9.88544098475767e-05,0.000138996052705265,4.83794044780982e-05,9.92644587506771e-05,0.000105924319135953
"Actinotignum",6.06679013036138e-06,6.2073162171518e-06,4.48075011777484e-06,6.79571096278359e-06,6.06774262835216e-06,6.08442356149763e-06,4.82146810075625e-06,6.86694035914928e-06,6.46766320191353e-06,5.11229098178781e-06,6.67192475955531e-06,6.44478722653529e-06,5.927566300792e-06,4.4572224010495e-06,6.89067262294207e-06
"Acutalibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adlercreutzia",1.66730927603541e-05,1.50155069604401e-05,1.05065930628577e-05,1.19684007167547e-05,1.49317541994515e-05,1.4551490028932e-05,1.35489493937628e-05,1.987189224193e-05,2.16223026685869e-05,1.18467113453953e-05,1.86315331031597e-05,2.05676353654407e-05,1.16064630034065e-05,1.57117619193026e-05,1.04640913015145e-05
"Advenella",4.06020479295104e-05,3.50236293441605e-05,4.05453411410439e-05,3.66705982875705e-05,3.35569795827097e-05,4.08293055843646e-05,4.30375535050724e-05,3.78305899540299e-05,3.83292268959709e-05,4.72622625868597e-05,4.06482437567408e-05,1.51429484998677e-05,3.77088446855969e-05,4.20980338786034e-05,3.62846106321798e-05
"Aequorivita",7.20860343796359e-05,6.81708665730192e-05,0.000140547085604644,0.000424486146557133,7.13619730551706e-05,3.53894843515012e-05,0.000157497392248587,0.000435530374001268,5.63745380339794e-05,0.00015473634956664,0.000432468345111678,5.15775398159449e-05,0.000420882617561331,0.000137668542910478,0.000424137554184886
"Aeribacillus",2.42442587113857e-05,2.80412068403644e-05,3.49079204006154e-05,3.0783730710148e-05,2.43239851929821e-05,1.87933539509751e-05,2.80223502075995e-05,1.67255844276104e-05,5.19336035306289e-06,2.73316929758795e-05,2.39203816191756e-05,1.96398304499405e-05,3.1654729246034e-05,2.86475632377133e-05,1.54937848978051e-05
