"","average","sd","ratio","ava","avb","cumsum","p"
"Candidatus.Altiarchaeum",0.120250171001978,0.13390309660633,0.898038761235737,1.48435034226733e-05,0.240511108524995,0.140689426841156,0.000999000999000999
"Cupriavidus",0.0805596060809331,0.0800977815154902,1.00576575975895,0.161906886284805,0.0153111076766543,0.234941973108964,0.000999000999000999
"Stenotrophomonas",0.0751992340588971,0.112932992953225,0.665874799670306,0.150973963014135,0.000934403104144118,0.322923030021275,0.000999000999000999
"Ralstonia",0.0507660814781307,0.0536948368838916,0.94545554888091,0.102127782887265,0.000796092626532194,0.382317963488872,0.000999000999000999
"Unclassified.genus.in.Helicobacteraceae",0.0443053667028549,0.0665565219449206,0.665680318144031,1.45122053505761e-05,0.0886217330169506,0.434154036531208,0.000999000999000999
"Rhodococcus",0.0422313222004519,0.062136107444516,0.679658316835539,0.0850006162473637,0.00108040274883045,0.483563533961594,0.441558441558442
"Unclassified.genus.in.Piscirickettsiaceae",0.0327483709865305,0.0365535318372883,0.895901691040531,1.06866198200904e-05,0.0655054410982322,0.521878236599321,0.000999000999000999
"Unclassified.genus.in.Zetaproteobacteria",0.0241468951546464,0.0483589093655993,0.499326710867131,0.000100617858614118,0.0483857724932867,0.550129446647453,0.00599400599400599
"Unclassified.genus.in.Proteobacteria",0.0138283136808054,0.0128126087568401,1.07927385774759,0.0260851438251773,0.0390074921493441,0.566308197244824,0.614385614385614
"Unclassified.genus.in.Candidatus.Nealsonbacteria",0.0134657293508795,0.0224031401397788,0.601064371640021,0.000201203075171167,0.0270741159901887,0.582062734045792,0.003996003996004
"Unclassified.genus.in.Candidatus.Roizmanbacteria",0.011675457877605,0.0138681153231941,0.841892182572071,0.00065881521381455,0.0238140069687991,0.595722701954538,0.004995004995005
"Unclassified.genus.in.Candidatus.Wolfebacteria",0.0111712056233657,0.0231775985287962,0.481982877108101,0.000208573513861447,0.0224881436164627,0.608792708451662,0.198801198801199
"Methylobacterium",0.0111296655070255,0.00976570669776745,1.1396682136245,0.0238863422078259,0.0052809856568008,0.621814114143396,0.000999000999000999
