"","average","sd","ratio","ava","avb","cumsum","p"
"Cupriavidus",0.0797336876619911,0.0846610075986415,0.941799417743648,0.161906886284805,0.00270700857648627,0.106593124254445,0.01998001998002
"Candidatus.Desulforudis",0.0787415427168543,0.112432761600634,0.700343401655003,5.74345844106232e-05,0.157489701723625,0.211859885305124,0.023976023976024
"Stenotrophomonas",0.0746221450924371,0.113891796388538,0.655202108129597,0.150973963014135,0.00216197379971402,0.311619570542448,0.108891108891109
"Ralstonia",0.0504972327539304,0.0430128393454146,1.17400370499637,0.102127782887265,0.0267242057949386,0.379127520610725,0.013986013986014
"Rhodococcus",0.0417999508225725,0.0623880868578338,0.669998920111522,0.0850006162473637,0.00280712197154654,0.435008384553058,0.334665334665335
"Caulobacter",0.0193910221975996,0.0269622473551646,0.719191614191806,0.00138967318522916,0.0401142463264679,0.460931550772231,0.050949050949051
"Staphylococcus",0.0152734921589944,0.011543512656976,1.32312343849377,0.000928362055537142,0.0313024230519073,0.481350137886935,0.000999000999000999
"Thiobacillus",0.0140749983590766,0.0193523320719746,0.727302441211183,0.00136995873229619,0.0281336913260285,0.500166501370965,0.022977022977023
"Pasteurella",0.0127855888866216,0.00938220071798249,1.3627494519613,0.000155870069803482,0.0256621712375622,0.517259099303163,0.000999000999000999
"Unclassified.genus.in.Propionibacteriaceae",0.0123198474508761,0.00872789615224753,1.41154835437674,0.000992775879997444,0.0251730075201067,0.533729064115202,0.001998001998002
"Klebsiella",0.0119309745242566,0.00957698290024519,1.24579678678879,0.000436452106974526,0.0241558692656234,0.549679158576303,0.000999000999000999
"Bradyrhizobium",0.0117457759366182,0.00700661528151471,1.67638374089222,0.0127451533613628,0.0298177595982361,0.565381667648558,0.038961038961039
"Methylobacterium",0.0104837299582661,0.0101027349075282,1.03771207046658,0.0238863422078259,0.00454048176272251,0.579396992448646,0.020979020979021
"Cutibacterium",0.0104459768598039,0.00757897595063546,1.37828341557517,0.000620447693632556,0.0211869383472962,0.593361846477427,0.000999000999000999
"Thermus",0.00802259607640688,0.011311969790639,0.709213004002699,0.000310209138440119,0.0161285616800984,0.604086969138765,0.02997002997003
"Clostridium",0.00798394960920343,0.0053971451731916,1.47929124620565,0.00166934487156008,0.0169403955840253,0.614760426715978,0.026973026973027
"Sphingomonas",0.00783521973406818,0.006496533440478,1.20606163361666,0.0182031653505548,0.00630203881401101,0.625235052625856,0.0649350649350649
"Unclassified.genus.in.Proteobacteria",0.00756400831462954,0.00629610749058205,1.20137852251475,0.0260851438251773,0.015253614362171,0.635347105658708,0.942057942057942
"Acinetobacter",0.0064550539943046,0.00452316214396592,1.42711089915623,0.000943575881508533,0.0137206302979267,0.643976637198764,0.0899100899100899
"Thermincola",0.00641765098562917,0.0091530143618221,0.701151635072012,1.85324706092398e-05,0.0128291244810553,0.652556165990067,0.028971028971029
"Streptomyces",0.0053031336504983,0.00381368063947351,1.39055525405253,0.0154479388735376,0.0128466169985988,0.659645736292419,0.487512487512487
"Enhydrobacter",0.00527743539694536,0.0037956901049517,1.39037572905666,2.93086301326356e-05,0.0105783831810987,0.666700951515828,0.000999000999000999
"Pseudomonas",0.00466894400676413,0.00284373527773279,1.64183496379681,0.0133589951999954,0.0146510870666821,0.67294269629452,0.968031968031968
"Moraxella",0.00430118606398206,0.00311442471774879,1.38105314906796,5.84473051907929e-05,0.00864696194770847,0.678692798591344,0.000999000999000999
"Streptococcus",0.00410541550287257,0.00361319462574603,1.13622871948806,0.00126771997150085,0.00887576376059986,0.684181182204917,0.032967032967033
"Enterobacter",0.00400467613345796,0.00311942784117213,1.28378546879713,0.000434118318080069,0.00828301698875778,0.689534890947226,0.000999000999000999
"Mycolicibacterium",0.0039858094692882,0.00255671892043829,1.55895489231367,0.00190977084239951,0.00883341375790522,0.694863377518867,0.000999000999000999
"Mycobacterium",0.00395338800437704,0.00220986932017062,1.78896913418926,0.00239551435134111,0.00900555351057309,0.700148520990006,0.000999000999000999
"Bacillus",0.00387031413181996,0.00249456072496209,1.55150126957875,0.00248848072312555,0.00887642540679017,0.705322605962793,0.148851148851149
"Aquabacterium",0.00384476496610847,0.00466645099633332,0.823916284373178,0.000416213909378916,0.00791778106637053,0.710462535166857,0.00699300699300699
"Corynebacterium",0.00378051123315053,0.00318450180160204,1.18715939530907,0.00233906510921179,0.00872002431972855,0.715516565846196,0.000999000999000999
"Chryseobacterium",0.00353762800346873,0.00280706949553509,1.26025665167737,0.000648091626024504,0.00745534129885955,0.720245894595398,0.000999000999000999
"Rhizobium",0.0033622167709187,0.00368144484349295,0.913287286338545,0.00258429485015902,0.00768137060722334,0.724740722321819,0.04995004995005
"Cloacibacterium",0.00332363940198704,0.00232576342658485,1.42905308596561,0.000150595918541895,0.00670336782983642,0.729183977339131,0.025974025974026
"Burkholderia",0.00280072957389673,0.00192572570126563,1.45437617208725,0.00886292757863581,0.0077488826698841,0.732928172850808,0.77022977022977
"Unclassified.genus.in.Betaproteobacteria",0.00266461455571682,0.00354681370042728,0.751269951222929,0.00664084095913756,0.00139828799590026,0.73649040104765,0.586413586413586
"Unclassified.genus.in.Actinobacteria.1",0.00247342401307118,0.00154970554287484,1.59606063515961,0.00569821189239121,0.00645406677907935,0.739797033424631,0.10989010989011
"Methylocystis",0.00214177149760225,0.0056443555244381,0.379453684008586,0.00445692069709545,0.000509922778187855,0.742660291378237,0.0929070929070929
"Unclassified.genus.in.Gammaproteobacteria",0.00206370894609469,0.0014176679769722,1.45570682248341,0.00327664156841393,0.00577382454660907,0.745419190289932,0.342657342657343
"Unclassified.genus.in.Alphaproteobacteria",0.00196859727739719,0.00200472813929645,0.981977176260949,0.0072369711439192,0.00496016296034143,0.748050937802804,0.697302697302697
"Dermacoccus",0.00194409441929606,0.00243264302646338,0.799169626676551,0.000116612614674615,0.0039333610536858,0.750649928318292,0.000999000999000999
