"","average","sd","ratio","ava","avb","cumsum","p"
"Sulfuricurvum",0.142946774191418,0.149621040166768,0.955392196392224,0.000276822018659778,0.286047644465651,0.180840136037719,0.000999000999000999
"Cupriavidus",0.081219213614357,0.0745289615490969,1.08976714455967,0.161906886284805,0.0553234992895088,0.283589524556475,0.021978021978022
"Stenotrophomonas",0.0749812617058068,0.113701000127165,0.65946000142432,0.150973963014135,0.00116302050803119,0.378447359886151,0.041958041958042
"Ralstonia",0.0505841620443379,0.0538374040676204,0.939572828972281,0.102127782887265,0.0015717158920376,0.44244073642225,0.022977022977023
"Rhodococcus",0.0421297682805193,0.0626221869033238,0.672761051056222,0.0850006162473637,0.000974587410682525,0.495738567521849,0.333666333666334
"Geobacter",0.032933743952021,0.0433137333450909,0.760353389296415,0.00222290319894943,0.0667403056953073,0.537402625841484,0.114885114885115
"Pseudomonas",0.0283650270616856,0.00637089201063332,4.45228501979676,0.0133589951999954,0.0700890493233665,0.573286858847539,0.0719280719280719
"Desulfosporosinus",0.0186240976582899,0.0181204607145641,1.02779382663935,0.00086982051148469,0.0375752557908488,0.59684796663158,0.003996003996004
"Methylobacterium",0.0115298144059572,0.0107623619264137,1.07130892686855,0.0238863422078259,0.00100338105116378,0.611434187394218,0.021978021978022
"Sulfurimonas",0.00934842544873783,0.014489120105333,0.645203116598982,0.00145071626693275,0.0182068829988157,0.623260760882503,0.336663336663337
"Unclassified.genus.in.Bacteroidetes",0.00923843778108151,0.0090719962364549,1.01834673872083,0.00113508381200105,0.0193221954841215,0.634948190378951,0.000999000999000999
"Sphingomonas",0.00853640079478622,0.00765962124210538,1.11446774259034,0.0182031653505548,0.00200640553852993,0.645747481861629,0.0589410589410589
"Rhodoferax",0.00787862131837273,0.00503500158141641,1.56477037613092,0.00170672802348996,0.0173868477195529,0.655714624940327,0.00599400599400599
"Unclassified.genus.in.Proteobacteria",0.0078188871497796,0.00627341262946514,1.2463530795114,0.0260851438251773,0.0156442863702065,0.665606199086213,0.947052947052947
"Acidovorax",0.00705666457239048,0.00157007553756955,4.49447456732818,0.00207485454749647,0.0161881836922774,0.674533495196686,0.0849150849150849
"Magnetospirillum",0.00601111268530813,0.00974379442706241,0.616917026555165,0.00110411750084574,0.0118111603836438,0.682138076985244,0.00599400599400599
"Caulobacter",0.00594363532113151,0.00931193222599845,0.638281634453608,0.00138967318522916,0.0114480904325396,0.689657294023277,0.152847152847153
"Streptomyces",0.00573395274626467,0.00402609317003417,1.42419772819515,0.0154479388735376,0.0047027116566011,0.69691124431725,0.43956043956044
"Bradyrhizobium",0.00511210694981288,0.00391738151433163,1.30498061807623,0.0127451533613628,0.00303643823166729,0.703378505446246,0.331668331668332
"Draconibacterium",0.00480312100154287,0.00576737631290333,0.832808670867699,3.82448674818821e-05,0.00963907780677225,0.709454872403374,0.000999000999000999
"Dechloromonas",0.00431830670716474,0.005094565138471,0.847630090065109,0.000876680238102349,0.00940938390298428,0.714917906996449,0.233766233766234
"Flavobacterium",0.00387941408585693,0.0031615288900541,1.22706899755407,0.00115136443585393,0.00890901309767609,0.719825704146832,0.004995004995005
"Burkholderia",0.00322040506031427,0.00245452276134887,1.31202900662633,0.00886292757863581,0.00284478557640771,0.723899797406354,0.737262737262737
"Bacteroides",0.00299705744846211,0.00300694040655741,0.996713284349185,0.000543215900513477,0.00626017674684935,0.727691336458274,0.001998001998002
"Unclassified.genus.in.Alphaproteobacteria",0.00294210108685453,0.00227286000221524,1.29444888113963,0.0072369711439192,0.00288773635248361,0.731413350919902,0.122877122877123
"Unclassified.genus.in.Betaproteobacteria",0.00256889695989353,0.00320739383472896,0.800929693160245,0.00664084095913756,0.00322177756326998,0.734663229613016,0.661338661338661
"Prevotella",0.00256018284448112,0.00233256164959395,1.09758421387353,0.00200477728546781,0.005241569691964,0.737902084190157,0.003996003996004
"Opitutus",0.00238770058832414,0.00295618190668647,0.807697450188535,0.0015351285024055,0.00409887422597057,0.740922733670723,0.104895104895105
"Unclassified.genus.in.Actinobacteria.1",0.00229270756554433,0.0014900251442272,1.53870394363944,0.00569821189239121,0.00133168594804897,0.743823208692933,0.123876123876124
