"","average","sd","ratio","ava","avb","cumsum","p"
"Cupriavidus",0.0798091628167741,0.0840883700359727,0.949110593803068,0.161906886284805,0.00252736836001044,0.101879804717975,0.000999000999000999
"Stenotrophomonas",0.0745381524770125,0.112636779640465,0.661756778868656,0.150973963014135,0.00378486108117955,0.197030939630025,0.004995004995005
"Ralstonia",0.0505905989787726,0.0538376404668353,0.93968826531202,0.102127782887265,0.00103448124901728,0.261611999781673,0.000999000999000999
"Smithella",0.0427020571188719,0.0666055923902421,0.641118194230306,0.000235019493841851,0.0855409221485657,0.316122999355924,0.000999000999000999
"Rhodococcus",0.0422405712452771,0.0624191654432799,0.67672438337326,0.0850006162473637,0.00052354263213117,0.370044892504013,0.436563436563437
"Candidatus.Altiarchaeum",0.0363697823470202,0.109352967696685,0.332590720792325,1.48435034226733e-05,0.0727448435530496,0.416472472901722,0.712287712287712
"Roseovarius",0.0356006696114016,0.0387201320625957,0.919435645360116,0.000375211363046123,0.0715756061017197,0.461918248046183,0.000999000999000999
"Pseudodesulfovibrio",0.0291071828649744,0.0835286481610548,0.348469459350661,0.000181659394747553,0.0583323532387485,0.499074810043732,0.001998001998002
"Sulfurivermis",0.0160294920819999,0.022602798539511,0.709181743755286,0.000147819544088712,0.0321487977158883,0.519537141252389,0.000999000999000999
"Unclassified.genus.in.Proteobacteria",0.0148123998887254,0.0197703669789644,0.749222303485098,0.0260851438251773,0.0418771963712536,0.538445802298395,0.447552447552448
"Hoeflea",0.0119487740701034,0.0284988018070107,0.419272857540419,0.000139369365379751,0.0239862440070718,0.553698922691051,0.000999000999000999
"Methylobacterium",0.0112629160312758,0.0103919786869641,1.08380861533177,0.0238863422078259,0.00237933105043963,0.568076516006441,0.000999000999000999
"Bradyrhizobium",0.00981114525487674,0.0146002580371259,0.671984373832897,0.0127451533613628,0.014389679916725,0.580600861925485,0.025974025974026
"Desulfomicrobium",0.00950637699150217,0.0248002543695283,0.383317721256218,0.000188988934493306,0.0191579759410213,0.592736158140697,0.000999000999000999
"Dechloromonas",0.00896431390602372,0.0102857403239015,0.871528312375619,0.000876680238102349,0.0184086305575236,0.604179487677596,0.012987012987013
"Sphingomonas",0.00844181605447072,0.00759878955461972,1.11094220912309,0.0182031653505548,0.00235528875334258,0.614955826392851,0.003996003996004
"Pseudomonas",0.00741219301930664,0.00828253580410861,0.894918319052695,0.0133589951999954,0.023511487683074,0.624417807331964,0.88011988011988
"Methanoculleus",0.00672919049620995,0.0151538287129908,0.444058767170919,0.000172008423148523,0.0135716707462989,0.633007906381592,0.000999000999000999
"Acetobacterium",0.00664849499122118,0.00696066106310327,0.955152812491216,5.0143017216893e-05,0.0133398707015889,0.641494994172866,0.000999000999000999
"Methanoregula",0.00556349822990086,0.00591506994993979,0.940563387582169,0.000121192709561787,0.011194281088126,0.648597037261732,0.385614385614386
"Streptomyces",0.00552260331979989,0.00365270712506209,1.51192064699302,0.0154479388735376,0.00708913840533389,0.65564687625137,0.516483516483517
"Unclassified.genus.in.Gammaproteobacteria",0.00530464635717379,0.00718069292420261,0.738737391108095,0.00327664156841393,0.0131101554252308,0.662418483870003,0.000999000999000999
"Unclassified.genus.in.Rhodobacteraceae",0.00468312100261196,0.00392534866270151,1.1930458680297,0.00108723788051354,0.0104034377293882,0.668396687830269,0.000999000999000999
"Azoarcus",0.00439443296914872,0.010134562322285,0.433608559442745,0.00189678870748117,0.00922508812498816,0.674006369186919,0.021978021978022
"Clostridium",0.0042329747449166,0.00408498403946514,1.03622797641844,0.00166934487156008,0.00983289848396993,0.679409942224996,0.0809190809190809
"Candidatus.Methanoperedens",0.00359471850976123,0.00874664059798307,0.410982761837746,1.67869908335431e-05,0.00720157748085595,0.683998753921109,0.002997002997003
"Paracoccus",0.00303500664269996,0.00252406531976293,1.20242793200971,0.00125118945622715,0.00728090696236539,0.687873069515496,0.000999000999000999
"Burkholderia",0.00301088065850338,0.00228041401530819,1.32032194079305,0.00886292757863581,0.00392323594626365,0.691716587260716,0.852147852147852
"Rhizobium",0.00297852084487571,0.00566976437814973,0.525334149044076,0.00258429485015902,0.00706007817522702,0.695518796321862,0.02997002997003
"Unclassified.genus.in.Rhizobiales",0.00289325277186664,0.00434009811911736,0.666633032816096,0.00368168881426213,0.00534310001567446,0.699212157046297,0.00899100899100899
"Xanthomonas",0.00288406986416049,0.00319670912108024,0.902199654370149,0.0014172679301923,0.00691629277235243,0.702893795396874,0.992007992007992
