"","average","sd","ratio","ava","avb","cumsum","p"
"Candidatus.Altiarchaeum",0.120253443405148,0.134678738855874,0.892891071201943,5.40481343041349e-06,0.240511108524995,0.136765452274433,0.106893106893107
"Candidatus.Desulforudis",0.078742220406557,0.112121645323525,0.70229276585576,0.157489701723625,1.28526166304402e-05,0.226319772567059,0.018981018981019
"Unclassified.genus.in.Helicobacteraceae",0.0443107980156108,0.0669425819620686,0.66192245229977,1.36985729032228e-07,0.0886217330169506,0.276714889410645,0.0939060939060939
"Unclassified.genus.in.Piscirickettsiaceae",0.0327487949987041,0.0367648454163944,0.890763843225644,9.98771248663365e-06,0.0655054410982322,0.313960423780505,0.0609390609390609
"Unclassified.genus.in.Zetaproteobacteria",0.0241867483400743,0.0486407039006622,0.497253254999565,1.22758131381127e-05,0.0483857724932867,0.341468256255899,0.04995004995005
"Caulobacter",0.0197929068389503,0.0268930656967889,0.735985516196231,0.0401142463264679,0.00056583946010028,0.363978928541054,0.032967032967033
"Staphylococcus",0.0149890789075411,0.0111834050292758,1.34029652581686,0.0313024230519073,0.00288315005865942,0.381026158939774,0.000999000999000999
"Unclassified.genus.in.Proteobacteria",0.014196142815452,0.0145780212095182,0.973804511011632,0.015253614362171,0.0390074921493441,0.397171575135188,0.371628371628372
"Thiobacillus",0.0140503780693129,0.0194622334680789,0.721930403946579,0.0281336913260285,0.000941713990184695,0.4131512116168,0.028971028971029
"Bradyrhizobium",0.0139663964417666,0.00946389468968088,1.47575569041307,0.0298177595982361,0.00416619923043489,0.429035334947612,0.031968031968032
"Unclassified.genus.in.Candidatus.Nealsonbacteria",0.0134538405651737,0.0225296444386064,0.59716169075973,0.000233965493881443,0.0270741159901887,0.444336523317951,0.0659340659340659
"Ralstonia",0.0129640565842032,0.00759972313982281,1.70585906166386,0.0267242057949386,0.000796092626532194,0.459080675434048,0.373626373626374
"Pasteurella",0.0127567603234066,0.00929865920218039,1.371892446646,0.0256621712375622,0.000302626817663037,0.473589067425029,0.000999000999000999
"Unclassified.genus.in.Propionibacteriaceae",0.0123105664653566,0.0087786996857185,1.40232231493052,0.0251730075201067,0.00131735212480613,0.487589998647568,0.001998001998002
"Klebsiella",0.0119508933886078,0.00953617367202583,1.25321683514065,0.0241558692656234,0.000422659005867276,0.501181870057601,0.000999000999000999
"Unclassified.genus.in.Candidatus.Roizmanbacteria",0.0118879638571688,0.0140174442790251,0.848083546510488,3.80792544616092e-05,0.0238140069687991,0.514702171077757,0.0679320679320679
"Unclassified.genus.in.Candidatus.Wolfebacteria",0.0112411951079217,0.0233261258824425,0.481914363515583,5.75340061935357e-06,0.0224881436164627,0.527486895485692,0.178821178821179
"Sulfurimonas",0.0106545843984913,0.0161725522625907,0.658806614162988,0.000343735162157241,0.0215338745615692,0.539604461625951,0.24975024975025
"Cutibacterium",0.010477962641835,0.00759795957639701,1.37904953777125,0.0211869383472962,0.000527902999555313,0.551521154063581,0.000999000999000999
"Unclassified.genus.in.Flavobacteriales",0.00992630447888723,0.0164710458507679,0.602651742264712,0.00150304791275637,0.0207882730397839,0.562810440116662,0.0849150849150849
"Cupriavidus",0.0081335642070846,0.0212008215404997,0.383643822082419,0.00270700857648627,0.0153111076766543,0.572060824603677,0.886113886113886
"Clostridium",0.00809308415186615,0.00566212532523976,1.42933681029454,0.0169403955840253,0.00103537917254285,0.581265170716211,0.023976023976024
"Thermus",0.00804871353219561,0.0113399763465383,0.709764578534823,0.0161285616800984,8.59591485679579e-05,0.590419053676131,0.00899100899100899
"Streptomyces",0.00785346970541906,0.00635812102433219,1.23518720001778,0.0128466169985988,0.00967849928875445,0.599350883865529,0.14985014985015
"Shewanella",0.00764205146944263,0.0130622381443128,0.585049161178396,0.00137091246789207,0.0157084259339242,0.608042265965928,0.0979020979020979
