"","average","sd","ratio","ava","avb","cumsum","p"
"Sulfuricurvum",0.143006740377138,0.155181643984715,0.92154417690809,3.47292269666791e-05,0.286047644465651,0.176332043156381,0.000999000999000999
"Candidatus.Desulforudis",0.0787402475711752,0.11629245937852,0.677088161966581,0.157489701723625,1.32546108760833e-05,0.273421374024621,0.01998001998002
"Geobacter",0.033017206353312,0.0453902162060656,0.72740799919124,0.000774719449278242,0.0667403056953073,0.314132682038786,0.201798201798202
"Pseudomonas",0.0277189811283422,0.00669619115299537,4.13951461286209,0.0146510870666821,0.0700890493233665,0.348311103025683,0.116883116883117
"Cupriavidus",0.0273171878417644,0.0481792567688083,0.566990644393872,0.00270700857648627,0.0553234992895088,0.381994099594389,0.473526473526474
"Caulobacter",0.02149011955482,0.0245545349783746,0.875199614806249,0.0401142463264679,0.0114480904325396,0.408492128140336,0.013986013986014
"Desulfosporosinus",0.0185934453108046,0.0190516562215064,0.975949024831525,0.000388365169239527,0.0375752557908488,0.43141846148885,0.038961038961039
"Staphylococcus",0.0153253276478936,0.011997296523536,1.27739842203856,0.0313024230519073,0.00073591558160806,0.450315097612905,0.000999000999000999
"Thiobacillus",0.0139912195538361,0.020405978760812,0.685643149874539,0.0281336913260285,0.000453765609621941,0.467566734309687,0.031968031968032
"Bradyrhizobium",0.0139206154246848,0.0098005224957736,1.42039523205911,0.0298177595982361,0.00303643823166729,0.484731313778847,0.0639360639360639
"Pasteurella",0.012752131975586,0.0096884386067604,1.31622158050192,0.0256621712375622,0.000240905398854714,0.500455114488694,0.000999000999000999
"Ralstonia",0.0125762449514505,0.00791563486591748,1.5887853803869,0.0267242057949386,0.0015717158920376,0.51596204067746,0.415584415584416
"Unclassified.genus.in.Propionibacteriaceae",0.0125581773335885,0.00935288955611346,1.34270561608203,0.0251730075201067,5.66528529295916e-05,0.531446688895523,0.001998001998002
"Klebsiella",0.0118804764990678,0.00978595928360341,1.21403289700723,0.0241558692656234,0.00071872944737164,0.546095709558656,0.000999000999000999
"Cutibacterium",0.010579558643993,0.00806601633621068,1.31162127660197,0.0211869383472962,2.78210593101155e-05,0.559140655457487,0.000999000999000999
"Unclassified.genus.in.Bacteroidetes",0.00924369900101047,0.00943264558143334,0.979968866762599,0.00106521225494013,0.0193221954841215,0.57053844221126,0.000999000999000999
"Sulfurimonas",0.00900233003556976,0.0153382033624018,0.586922067915529,0.000343735162157241,0.0182068829988157,0.581638613043445,0.381618381618382
"Rhodoferax",0.00827967542023741,0.00524349917460393,1.57903627797611,0.000827496879078072,0.0173868477195529,0.591847726821382,0.00899100899100899
"Thermus",0.00803191856534497,0.0117750511587645,0.682113262783287,0.0161285616800984,8.30789575857161e-05,0.601751348198653,0.017982017982018
"Clostridium",0.00744234673597831,0.00462278501608205,1.60992706995618,0.0169403955840253,0.00480420745904077,0.610928008000649,0.04995004995005
"Acinetobacter",0.00643796532465543,0.00461560761419131,1.39482509407018,0.0137206302979267,0.00106235088160795,0.618866232286249,0.188811188811189
"Thermincola",0.00642404054973899,0.00944698328702463,0.680009729514645,0.0128291244810553,5.68698552681061e-05,0.62678728686359,0.013986013986014
"Magnetospirillum",0.0058550359364563,0.0103775946340031,0.564199715150924,0.000402015308781046,0.0118111603836438,0.634006739923681,0.0629370629370629
"Acidovorax",0.00557556379520604,0.00253801175941497,2.19682346802492,0.00503705610186535,0.0161881836922774,0.640881594585529,0.25974025974026
"Enhydrobacter",0.00528214097987285,0.00392896575844051,1.344410031705,0.0105783831810987,1.50277492769293e-05,0.647394649206344,0.000999000999000999
"Streptomyces",0.00523608779907311,0.00467926415504975,1.11899812140814,0.0128466169985988,0.0047027116566011,0.653850918731276,0.484515484515485
"Draconibacterium",0.00481707622169672,0.00598170810236249,0.805301117885409,4.92536337880069e-06,0.00963907780677225,0.659790533115687,0.001998001998002
"Dechloromonas",0.00456648810427573,0.00530316831264539,0.861086775878289,0.000276407694432827,0.00940938390298428,0.665421164059045,0.220779220779221
"Unclassified.genus.in.Proteobacteria",0.00446097626863177,0.00323560123572402,1.37871633233987,0.015253614362171,0.0156442863702065,0.670921695417535,0.972027972027972
"Moraxella",0.00429598164232935,0.00321353204230331,1.33684107884301,0.00864696194770847,7.91481449201226e-05,0.676218782941917,0.000999000999000999
"Streptococcus",0.00419861588608916,0.00382711058812961,1.09707200495116,0.00887576376059986,0.000694159907715887,0.681395815266901,0.0699300699300699
"Aquabacterium",0.00419474175452407,0.00429177713112835,0.977390397115339,0.00791778106637053,0.00308777904027395,0.686568070659464,0.003996003996004
"Corynebacterium",0.00412455773837495,0.00381101349351847,1.08227319199728,0.00872002431972855,0.00059102996851345,0.691653786837639,0.000999000999000999
"Mycolicibacterium",0.00409164743313233,0.00294500300776564,1.38935254814447,0.00883341375790522,0.00137954526881258,0.696698923520407,0.000999000999000999
"Enterobacter",0.00399265062099032,0.0031648744975335,1.2615510106647,0.00828301698875778,0.000549798605588251,0.701621993857876,0.000999000999000999
"Mycobacterium",0.00387554667743574,0.00324919548364945,1.192771163489,0.00900555351057309,0.00378516243406905,0.706400671157827,0.001998001998002
"Rhizobium",0.00344616153747176,0.00420234087257538,0.820057592177141,0.00768137060722334,0.00123631553755068,0.710649902371312,0.0699300699300699
"Bacillus",0.00344141674595368,0.00218082688863523,1.57803297633923,0.00887642540679017,0.00317021182740679,0.714893283099845,0.277722277722278
"Flavobacterium",0.00337106666990911,0.00259683833592195,1.29814267730004,0.0040646516622334,0.00890901309767609,0.719049919856643,0.030969030969031
"Cloacibacterium",0.00333138834843743,0.00242455349634755,1.37402138309423,0.00670336782983642,0.000108520029600838,0.723157631930061,0.02997002997003
"Chryseobacterium",0.00305186320424443,0.00241765099187773,1.26232579247269,0.00745534129885955,0.00364405257067817,0.726920680250853,0.001998001998002
"Bacteroides",0.00296213769203803,0.00309294348312803,0.957708315136201,0.000633706672404436,0.00626017674684935,0.730573094045966,0.003996003996004
"Burkholderia",0.00288746472281422,0.00212923226608176,1.35610603352718,0.0077488826698841,0.00284478557640771,0.734133433599004,0.575424575424575
"Unclassified.genus.in.Actinobacteria.1",0.00286746011834006,0.00243116187419869,1.17946079558572,0.00645406677907935,0.00133168594804897,0.737669106812749,0.0869130869130869
"Sphingomonas",0.00264733965765658,0.00195271534718306,1.35572225694624,0.00630203881401101,0.00200640553852993,0.74093336421441,0.527472527472527
"Brevundimonas",0.00261994323593444,0.000837125473290021,3.12969001604705,0.00470875941615103,0.00315246450274068,0.744163840921506,0.051948051948052
"Prevotella",0.00229588377411554,0.0016552027495008,1.38707102486869,0.00282335960404263,0.005241569691964,0.746994741588647,0.0609390609390609
"Polaromonas",0.00214734302203476,0.00138016140479188,1.55586369433259,0.000702110952492993,0.00499679699656251,0.749642486593074,0.108891108891109
"Opitutus",0.0020442921481965,0.00362410398899927,0.564082088814729,0.000105414421155725,0.00409887422597057,0.752163166459977,0.260739260739261
"Unclassified.genus.in.Alphaproteobacteria",0.00204023597700313,0.000840323951918948,2.42791601065765,0.00496016296034143,0.00288773635248361,0.754678844933575,0.573426573426573
"Sphingobium",0.00203965296406099,0.00159138721878685,1.28168238376067,0.00309702020751966,0.003011293640241,0.757193804532922,0.340659340659341
"Unclassified.genus.in.Gammaproteobacteria",0.00201723516658424,0.00132831842516122,1.5186382484602,0.00577382454660907,0.00308683866803835,0.759681122246147,0.330669330669331
"Phenylobacterium",0.00199677163591196,0.00247305509543335,0.807410898204057,0.00137489468957491,0.00338480970334453,0.76214320774889,0.034965034965035
"Dermacoccus",0.0019626274095938,0.00254042602094582,0.772558379347374,0.0039333610536858,1.95926958429897e-05,0.764563192290708,0.000999000999000999
"Lactococcus",0.00189246752533608,0.00174628076093771,1.08371320790356,0.00384805005885574,0.0001170179140831,0.766896667373558,0.000999000999000999
"Methylobacterium",0.00183807014376898,0.000909319783531487,2.02136825466454,0.00454048176272251,0.00100338105116378,0.769163068684858,0.662337662337662
"Paludibacter",0.00183067625865897,0.00189789561310782,0.964582164590826,2.03596434795189e-05,0.00368171216079746,0.771420353091145,0.000999000999000999
