"","average","sd","ratio","ava","avb","cumsum","p"
"Candidatus.Desulforudis",0.0787492393449892,0.113201538073629,0.695655206502308,0.157489701723625,0.000116220155547171,0.100887310996531,0.00999000999000999
"Smithella",0.0427603012946667,0.0675760844563397,0.632772698191677,2.15162269814286e-05,0.0855409221485657,0.155668434609948,0.031968031968032
"Candidatus.Altiarchaeum",0.0363704481574791,0.110896152181514,0.327968531297175,5.40481343041349e-06,0.0727448435530496,0.202263382635694,0.54045954045954
"Roseovarius",0.035636018367813,0.0392664124517604,0.907544543611987,0.000303569366093789,0.0715756061017197,0.247917437172036,0.018981018981019
"Pseudodesulfovibrio",0.0291140098271011,0.0847169811616859,0.343662031246555,0.000107931394424588,0.0583323532387485,0.285216009046683,0.02997002997003
"Caulobacter",0.0197660344900208,0.0270387530732729,0.731026110429591,0.0401142463264679,0.00096332301593341,0.310538692609718,0.032967032967033
"Bradyrhizobium",0.0167013959463776,0.0133738004748466,1.2488144994977,0.0298177595982361,0.014389679916725,0.331935203114878,0.031968031968032
"Sulfurivermis",0.0160297509958344,0.0229205380996338,0.699361896573033,0.000149842338194431,0.0321487977158883,0.352471255111888,0.024975024975025
"Staphylococcus",0.0151028991572807,0.0113292468179735,1.33308942773852,0.0313024230519073,0.00173076405148471,0.371819897675338,0.000999000999000999
"Unclassified.genus.in.Proteobacteria",0.014905101020943,0.0217541831810045,0.685160223986618,0.015253614362171,0.0418771963712536,0.390915136875643,0.372627372627373
"Thiobacillus",0.0141446219994785,0.019308289207091,0.732567336638188,0.0281336913260285,0.00173466628777032,0.409036110366424,0.020979020979021
"Ralstonia",0.0128448622729607,0.00765216937607701,1.67859095136048,0.0267242057949386,0.00103448124901728,0.425491934265405,0.388611388611389
"Pasteurella",0.0126807557002026,0.00924496260369487,1.37163948020023,0.0256621712375622,0.00072900313712611,0.441737517773746,0.000999000999000999
"Unclassified.genus.in.Propionibacteriaceae",0.0120225030687017,0.00910343789127121,1.32065525269629,0.0251730075201067,0.00381247214737016,0.457139799956247,0.001998001998002
"Hoeflea",0.0119766233534982,0.0289113199229405,0.414253772758227,3.33332058824142e-05,0.0239862440070718,0.472483304668202,0.022977022977023
"Klebsiella",0.0117811992484073,0.00939657935446175,1.25377531588804,0.0241558692656234,0.0012731017241938,0.487576447438498,0.000999000999000999
"Cutibacterium",0.0101828554343828,0.00759733067892828,1.34032015515998,0.0211869383472962,0.00227874823236749,0.500621918246676,0.000999000999000999
"Desulfomicrobium",0.0095415170250054,0.0251573220942411,0.379273954090272,7.99412068613331e-05,0.0191579759410213,0.512845756895623,0.026973026973027
"Dechloromonas",0.00909757609105628,0.0105641022935173,0.861178341356938,0.000276407694432827,0.0184086305575236,0.524500853453345,0.0829170829170829
"Thermus",0.00802073288088723,0.0114512656631516,0.700423264713586,0.0161285616800984,0.000147865029032722,0.534776383468679,0.031968031968032
"Pseudomonas",0.00694146343290614,0.00850494621300519,0.816167822706712,0.0146510870666821,0.023511487683074,0.543669238637206,0.752247752247752
"Clostridium",0.00692732352598261,0.00404894981474108,1.71089389667468,0.0169403955840253,0.00983289848396993,0.552543978872825,0.037962037962038
"Methanoculleus",0.00675427288404506,0.0153777765329603,0.4392229832166,7.53644306714724e-05,0.0135716707462989,0.561197020282189,0.035964035964036
"Acetobacterium",0.0066405310748961,0.00705722075353428,0.940955555566332,6.93710260221046e-05,0.0133398707015889,0.569704344661543,0.026973026973027
"Thermincola",0.00642947688880361,0.00918390168370129,0.700081197538736,0.0128291244810553,8.94878896558762e-05,0.577941283072898,0.00899100899100899
"Acinetobacter",0.00637416816367081,0.00438694044514267,1.45298716574291,0.0137206302979267,0.00134350311022674,0.58610736431027,0.106893106893107
"Methanoregula",0.00556304670275705,0.00600600440090162,0.926247523548588,0.000105925068865281,0.011194281088126,0.593234300741116,0.320679320679321
"Enhydrobacter",0.00527338447024846,0.00381564398820421,1.38204310636704,0.0105783831810987,4.71713720732537e-05,0.599990144778207,0.000999000999000999
"Streptomyces",0.00511403814268613,0.00447426142050587,1.14299046525268,0.0128466169985988,0.00708913840533389,0.606541846875151,0.521478521478521
"Rhizobium",0.00479641528412836,0.00555867869799598,0.862869675460388,0.00768137060722334,0.00706007817522702,0.612686635630741,0.021978021978022
"Unclassified.genus.in.Gammaproteobacteria",0.00478514945234949,0.00701945472853913,0.68169817135431,0.00577382454660907,0.0131101554252308,0.618816991491693,0.041958041958042
"Unclassified.genus.in.Rhodobacteraceae",0.00476537832710285,0.00399124528791389,1.19395777090753,0.000872681075182482,0.0104034377293882,0.624922018147206,0.00699300699300699
"Azoarcus",0.00443702271181344,0.0105138379175006,0.422017416154749,0.000391169475716005,0.00922508812498816,0.630606381500411,0.0589410589410589
"Moraxella",0.00428791063634036,0.0031276418815742,1.3709723806941,0.00864696194770847,9.75958322591631e-05,0.636099714229615,0.000999000999000999
"Mycobacterium",0.00424155044854391,0.00295715083783706,1.43433686042417,0.00900555351057309,0.000710095136965244,0.641533653944703,0.000999000999000999
"Mycolicibacterium",0.0042170603314983,0.00314364202496506,1.34145691462601,0.00883341375790522,0.00054690848919294,0.646936218854457,0.000999000999000999
"Streptococcus",0.00399219259998908,0.00339593256020984,1.17558064808637,0.00887576376059986,0.00177925207268428,0.652050700971912,0.033966033966034
"Corynebacterium",0.00399130877442429,0.0035987362608551,1.1090862139133,0.00872002431972855,0.00107427986156922,0.6571640508018,0.000999000999000999
"Enterobacter",0.00396808964737077,0.00305944714074588,1.29699565471275,0.00828301698875778,0.00066827029022821,0.662247654118432,0.000999000999000999
"Aquabacterium",0.00387117548370008,0.00473549184903429,0.817481184027279,0.00791778106637053,0.000276239273664455,0.667207098656496,0.00599400599400599
"Candidatus.Methanoperedens",0.00359065853088521,0.00886887101354654,0.404860835770499,3.01385327155948e-05,0.00720157748085595,0.671807167011452,0.027972027972028
"Chryseobacterium",0.00341494042168989,0.00254857069507852,1.33994337621648,0.00745534129885955,0.00139932004837852,0.676182119191604,0.001998001998002
"Cloacibacterium",0.00334263340108311,0.00239514113545378,1.39558932524025,0.00670336782983642,3.82832840929527e-05,0.680464437323022,0.023976023976024
"Bacillus",0.0030928614984037,0.00178021854521094,1.73734933091444,0.00887642540679017,0.00469205401891003,0.684426767403338,0.295704295704296
"Xanthomonas",0.0028209741654514,0.00320137331563157,0.881176260099761,0.00170718359795346,0.00691629277235243,0.688040776888513,0.893106893106893
"Burkholderia",0.00280987775381821,0.00179844650274956,1.56239162495094,0.0077488826698841,0.00392323594626365,0.69164057052677,0.711288711288711
"Unclassified.genus.in.Actinobacteria.1",0.00278550887638601,0.00223148338842269,1.24827676998973,0.00645406677907935,0.00152125456750702,0.695209144682318,0.0669330669330669
"Mesorhizobium",0.00269991258628442,0.00500397880634156,0.539553161748571,0.0022578564952002,0.00614341953354233,0.69866805962577,0.0589410589410589
"Unclassified.genus.in.Rhizobiales",0.0026267482554716,0.00450963317657106,0.582474927033616,0.00245630776051077,0.00534310001567446,0.702033242202308,0.0619380619380619
"Sphingomonas",0.00257830836611083,0.00201404984330238,1.28016115126687,0.00630203881401101,0.00235528875334258,0.705336367415204,0.662337662337662
"Paracoccus",0.00253348023024826,0.0022062888850756,1.14829941236886,0.00358078395372576,0.00728090696236539,0.70858206235802,0.0589410589410589
"Acidovorax",0.00252264652417819,0.00224556441005876,1.12339085571461,0.00503705610186535,0.00351689094025289,0.711813878011554,0.636363636363636
"Paraburkholderia",0.00243419036808574,0.00386076600315816,0.630494147040909,0.00301723026233476,0.00402011266504231,0.714932370618371,0.265734265734266
