"","average","sd","ratio","ava","avb","cumsum","p"
"Candidatus.Altiarchaeum",0.120229932273705,0.133778925471854,0.898721019395543,7.50826646518547e-05,0.240511108524995,0.142032055282426,0.000999000999000999
"Unclassified.genus.in.Helicobacteraceae",0.0442712874131741,0.0664850739492278,0.665883104032981,0.000126045596441399,0.0886217330169506,0.194331360641574,0.000999000999000999
"Unclassified.genus.in.candidate.division.WWE3",0.0379224611134357,0.0648175131053591,0.585065043328548,0.0765369690626803,0.00312981843602668,0.239130563231553,0.258741258741259
"Unclassified.genus.in.Piscirickettsiaceae",0.0327430742783942,0.0365203116097573,0.896571601805447,2.51791478508732e-05,0.0655054410982322,0.27781116504241,0.000999000999000999
"Rhodococcus",0.0300668662920009,0.106726404927382,0.281719095780081,0.0601273331411627,0.00108040274883045,0.31333026361125,0.805194805194805
"Unclassified.genus.in.Zetaproteobacteria",0.0241384789499906,0.0483167103994248,0.49958862576617,0.000119755082857683,0.0483857724932867,0.341845939465196,0.000999000999000999
"Unclassified.genus.in.Proteobacteria",0.0169866465058703,0.0180248376237812,0.942402193041607,0.0280312215885849,0.0390074921493441,0.361912891762003,0.134865134865135
"Geobacter",0.0158303747004842,0.0402118605001003,0.393674266835893,0.0317800863592946,0.0017211769145703,0.380613897510572,0.594405594405594
"Unclassified.genus.in.Candidatus.Woesebacteria",0.0147479347486696,0.0230671054862634,0.639349170074767,0.0298898615908102,0.00329568007352916,0.398036177003803,0.223776223776224
"Unclassified.genus.in.Candidatus.Moranbacteria",0.0141142297625684,0.0227292023880459,0.620973385761728,0.0266612376204364,0.0121910734243673,0.414709837414276,0.27972027972028
"Pseudomonas",0.0138102054578195,0.0293678268227182,0.470249485642441,0.0291567540426328,0.00625351110906425,0.431024342695551,0.604395604395604
"Unclassified.genus.in.Candidatus.Wolfebacteria",0.0132793730456051,0.022331885411733,0.594637344799745,0.0112630708373678,0.0224881436164627,0.446711756061431,0.00599400599400599
"Unclassified.genus.in.Candidatus.Nealsonbacteria",0.0131267494043384,0.0222716008970373,0.589394065789162,0.00130144514187079,0.0270741159901887,0.46221886948832,0.000999000999000999
"Sulfurimonas",0.0126841481040512,0.0185563853389561,0.683546276516626,0.00914773496723511,0.0215338745615692,0.477203121667917,0.01998001998002
"Xanthomonas",0.0115825539018248,0.0174079130956789,0.665361427194849,0.0160251091056368,0.0150291340297457,0.490886019969403,0.0619380619380619
"Unclassified.genus.in.Candidatus.Uhrbacteria",0.0110952766760276,0.0343691233901052,0.322826874287458,0.0225291812888923,0.00234644071218647,0.503993279704324,0.410589410589411
