"","average","sd","ratio","ava","avb","cumsum","p"
"Cupriavidus",0.0799161570677563,0.0832882657663347,0.959512799701716,0.003658700512756,0.161906886284805,0.100604113820057,0.000999000999000999
"Stenotrophomonas",0.0747748775345141,0.112706135990435,0.663449925573348,0.00226162636567881,0.150973963014135,0.194736021138687,0.000999000999000999
"Rhodococcus",0.0650252456708282,0.105948359518539,0.613744714560209,0.0601273331411627,0.0850006162473637,0.276594401930181,0.04995004995005
"Ralstonia",0.0506163020410314,0.0535998489203954,0.944336655056713,0.00122033654366475,0.102127782887265,0.340313784825043,0.000999000999000999
"Unclassified.genus.in.candidate.division.WWE3",0.0382266784320218,0.0654862134898189,0.583736276612861,0.0765369690626803,0.000138595868285188,0.38843623276354,0.294705294705295
"Geobacter",0.0156383410297233,0.0401946755149943,0.389064990060427,0.0317800863592946,0.00222290319894943,0.408122883106064,0.4995004995005
"Unclassified.genus.in.Candidatus.Woesebacteria",0.0147923352414138,0.0236382972986891,0.625778373733969,0.0298898615908102,0.000506634841721393,0.42674452149428,0.277722277722278
"Unclassified.genus.in.Candidatus.Moranbacteria",0.0132110201616815,0.0251955019054207,0.524340424385005,0.0266612376204364,0.000354729561562822,0.443375488557649,0.408591408591409
"Pseudomonas",0.0125513701819298,0.0286145683666937,0.438635663522331,0.0291567540426328,0.0133589951999954,0.459176041546076,0.666333666333666
"Unclassified.genus.in.Proteobacteria",0.0118340425581197,0.0155224438952362,0.762382691668256,0.0280312215885849,0.0260851438251773,0.474073571759636,0.904095904095904
"Methylobacterium",0.0113495479782241,0.0104782923551731,1.08314862703949,0.00199615426109319,0.0238863422078259,0.488361185910544,0.000999000999000999
"Unclassified.genus.in.Candidatus.Uhrbacteria",0.0112122077450613,0.034467734976419,0.325295751308639,0.0225291812888923,0.00142498335960478,0.502475906457002,0.338661338661339
"Paraburkholderia",0.00953153330988282,0.0598635386925739,0.159221013626199,0.0184630390751622,0.00241004487684961,0.514474875090768,0.43956043956044
"Sphingomonas",0.00874364136437525,0.00790429427669605,1.10618874478824,0.00391031925647788,0.0182031653505548,0.525481989587998,0.000999000999000999
"Xanthomonas",0.00752953091920984,0.0137905876473452,0.545990577904004,0.0160251091056368,0.0014172679301923,0.534960695939776,0.743256743256743
"Unclassified.genus.in.Candidatus.Falkowbacteria",0.00752206027625513,0.0153106562813165,0.491295744483159,0.0152247115868869,0.00030011337556299,0.544429997717539,0.445554445554446
"Unclassified.genus.in.Candidatus.Daviesbacteria",0.00672778602358055,0.00862122802608141,0.780374443551115,0.0133804346704759,0.00303198105716872,0.552899410858857,0.18981018981019
"Streptomyces",0.00633001613777778,0.00609799212093357,1.03804924838255,0.0081318439835062,0.0154479388735376,0.56086808311956,0.283716283716284
"Unclassified.genus.in.Candidatus.Collierbacteria",0.00630876045199971,0.0108953594720229,0.579031877580484,0.0126806017630537,0.000113126919947552,0.568809997218837,0.316683316683317
"Burkholderia",0.00583966703530174,0.008131062735881,0.718192347665981,0.00950925951008825,0.00886292757863581,0.576161383329566,0.30969030969031
"Unclassified.genus.in.Candidatus.Wolfebacteria",0.00557074524998096,0.0103101885825878,0.540314583516834,0.0112630708373678,0.000208573513861447,0.583174231666561,0.928071928071928
"Unclassified.genus.in.Candidatus.Nomurabacteria",0.00554820022843135,0.00866613197586357,0.640216447647449,0.011423508281216,0.000801566385689544,0.59015869873502,0.23976023976024
"Unclassified.genus.in.Candidatus.Raymondbacteria",0.00528236821708449,0.0170940122930412,0.309018627489514,0.0105702759450374,4.19716151581337e-05,0.596808517655873,0.40959040959041
"Bradyrhizobium",0.00517551001643766,0.00377983012266952,1.36924407935625,0.00362950270456138,0.0127451533613628,0.603323815911883,0.298701298701299
"Citrobacter",0.00501943679203232,0.0356849773237676,0.140659660408112,0.0101061987144974,0.000216270081542122,0.609642638148418,0.452547452547453
"Sulfurimonas",0.00498112785112333,0.014311202677549,0.34805794896173,0.00914773496723511,0.00145071626693275,0.615913234379188,0.962037962037962
"Unclassified.genus.in.Candidatus.Roizmanbacteria",0.00449108925547282,0.00502813950347859,0.893191060503747,0.00933789003604549,0.00065881521381455,0.621566935347949,0.993006993006993
"Unclassified.genus.in.Candidatus.Margulisbacteria",0.0044347034742277,0.0206726398361912,0.214520424549938,0.00887642830297952,1.09833932485377e-05,0.627149653905113,0.366633366633367
"Methanoregula",0.00443402903558967,0.0195826652534967,0.226426228411269,0.00888301310784012,0.000121192709561787,0.632731523431192,0.523476523476524
"Unclassified.genus.in.Candidatus.Yanofskybacteria",0.00430644374505598,0.0106506326866185,0.404336894508306,0.00872081562329689,0.000682505828537633,0.638152779564917,0.323676323676324
"Unclassified.genus.in.Betaproteobacteria",0.00425832127035327,0.0062337312125008,0.683109541491594,0.0068739092701046,0.00664084095913756,0.643513455722077,0.264735264735265
"Unclassified.genus.in.Candidatus.Levybacteria",0.00411390884145848,0.00468262326749862,0.878547900706106,0.0073935602311205,0.00299297801594526,0.648692335294334,0.156843156843157
"Rhodanobacter",0.00354648175442095,0.0238530828901228,0.148680225979909,0.00695735964876536,0.000481490829963915,0.653156897495191,0.28971028971029
"Aeromonas",0.00348536980504704,0.0227693773614729,0.153072688361892,0.00719248342736571,0.000782215407093017,0.657544527649563,0.376623376623377
