"","average","sd","ratio","ava","avb","cumsum","p"
"Candidatus.Desulforudis",0.0787424753913645,0.111653399569015,0.705240285520304,5.15450940178062e-05,0.157489701723625,0.0964340343857848,0.024975024975025
"Unclassified.genus.in.candidate.division.WWE3",0.0382515130912157,0.0656579856290466,0.582587368843883,0.0765369690626803,4.29934695492932e-05,0.143279751521458,0.265734265734266
"Rhodococcus",0.0300708132580838,0.106763131190094,0.281659154456065,0.0601273331411627,0.00280712197154654,0.180106760392157,0.330669330669331
"Caulobacter",0.0202719808393354,0.0265103724847874,0.76468110174492,0.00448321557168108,0.0401142463264679,0.204933372555569,0.022977022977023
"Geobacter",0.0156034214385615,0.0405578284304408,0.384720337414571,0.0317800863592946,0.000774719449278242,0.224042511201053,0.265734265734266
"Staphylococcus",0.0149383384831321,0.011043586378848,1.35267095042095,0.00304686813415474,0.0313024230519073,0.242337138589752,0.000999000999000999
"Unclassified.genus.in.Candidatus.Woesebacteria",0.014888088833978,0.0237452185201797,0.626993127956496,0.0298898615908102,0.000142984194560069,0.260570226429811,0.277722277722278
"Thiobacillus",0.0142819359064743,0.0188453348159469,0.757849942490218,0.00244334402246821,0.0281336913260285,0.278060973214888,0.00899100899100899
"Bradyrhizobium",0.0137362874236616,0.00940227782597874,1.46095315176795,0.00362950270456138,0.0298177595982361,0.294883477297503,0.031968031968032
"Unclassified.genus.in.Candidatus.Moranbacteria",0.0133098145341787,0.0252832535720597,0.52642807604822,0.0266612376204364,5.02258770655539e-05,0.311183690188679,0.261738261738262
"Pseudomonas",0.0128368957083876,0.0284031622468209,0.451953046524754,0.0291567540426328,0.0146510870666821,0.326904730656313,0.363636363636364
"Pasteurella",0.0127831334620161,0.00934371144017628,1.36810019699997,0.000119268000448457,0.0256621712375622,0.342559929781147,0.000999000999000999
"Ralstonia",0.0127519346256369,0.00758052186782232,1.68219745922324,0.00122033654366475,0.0267242057949386,0.358176920434057,0.254745254745255
"Unclassified.genus.in.Propionibacteriaceae",0.0125257483847212,0.00895329001303815,1.39901068394754,0.000162275155627073,0.0251730075201067,0.373516906184269,0.001998001998002
"Klebsiella",0.0119263457714642,0.00948706099904884,1.25711701154445,0.000491097200715,0.0241558692656234,0.388122817828599,0.000999000999000999
"Unclassified.genus.in.Candidatus.Uhrbacteria",0.0112426077937002,0.0347168056995885,0.323837621784237,0.0225291812888923,5.56056241436271e-05,0.401891371854556,0.155844155844156
"Cutibacterium",0.0105598809147794,0.00772739531817046,1.3665511443356,9.3740037963402e-05,0.0211869383472962,0.414823806530813,0.000999000999000999
"Unclassified.genus.in.Proteobacteria",0.0102976226976668,0.0165217197305004,0.623277895136822,0.0280312215885849,0.015253614362171,0.427435059814166,0.86013986013986
"Paraburkholderia",0.00982529780634875,0.0599233616045082,0.163964396243244,0.0184630390751622,0.00301723026233476,0.439467868051382,0.0899100899100899
"Thermus",0.00803247362987631,0.0112653759582886,0.713023130308082,0.000199793214689426,0.0161285616800984,0.449305047215188,0.015984015984016
"Clostridium",0.00758514733758344,0.00473439973618363,1.60213496118893,0.00549596532793653,0.0169403955840253,0.45859439652175,0.034965034965035
"Unclassified.genus.in.Candidatus.Falkowbacteria",0.00756541379994567,0.0153686046595495,0.492264194930982,0.0152247115868869,0.000121191165579024,0.467859578634715,0.222777222777223
"Xanthomonas",0.00749701868298707,0.0137713333038512,0.544393089439679,0.0160251091056368,0.00170718359795346,0.477040998876748,0.417582417582418
"Acinetobacter",0.00712287501494875,0.00558869730374407,1.27451436852321,0.00595849658286197,0.0137206302979267,0.485764214278642,0.0799200799200799
"Unclassified.genus.in.Candidatus.Daviesbacteria",0.00667230435402799,0.00916996307826807,0.727626087158487,0.0133804346704759,4.45738308579211e-05,0.493935626522297,0.224775224775225
"Thermincola",0.00642261490538711,0.00907544198394433,0.70769169333566,4.83159891568483e-05,0.0128291244810553,0.501801250044474,0.010989010989011
"Unclassified.genus.in.Candidatus.Collierbacteria",0.00633771383371792,0.0109353623866252,0.579561390802141,0.0126806017630537,6.50069926267132e-06,0.509562897246069,0.297702297702298
"Streptomyces",0.00598636617695569,0.0066887717114073,0.894987366177604,0.0081318439835062,0.0128466169985988,0.516894257339655,0.2997002997003
"Unclassified.genus.in.Candidatus.Nomurabacteria",0.00568528104186344,0.00879133493471855,0.64669143925017,0.011423508281216,6.51796096730572e-05,0.523856885638537,0.1998001998002
"Burkholderia",0.00564377482746864,0.00828221338881548,0.681433158325786,0.00950925951008825,0.0077488826698841,0.530768682265106,0.206793206793207
"Unclassified.genus.in.Candidatus.Wolfebacteria",0.00562919415381819,0.0103566354813062,0.543535027758672,0.0112630708373678,5.75340061935357e-06,0.537662622287889,0.645354645354645
"Unclassified.genus.in.Candidatus.Raymondbacteria",0.0052798180047733,0.0171387204733766,0.30806372114972,0.0105702759450374,2.52989249195432e-05,0.544128689661215,0.130869130869131
"Enhydrobacter",0.00527298752237213,0.00375467036855212,1.40438094553837,5.99761869015741e-05,0.0105783831810987,0.55058639190541,0.000999000999000999
"Citrobacter",0.00501433409973158,0.0357709096427429,0.140179105027285,0.0101061987144974,0.000231879014747789,0.556727327462642,0.230769230769231
"Unclassified.genus.in.Candidatus.Roizmanbacteria",0.00465206698766657,0.00513413472539848,0.906105358835418,0.00933789003604549,3.80792544616092e-05,0.562424603115,0.805194805194805
"Sulfurimonas",0.00448440912251309,0.0144208133432305,0.310967836264117,0.00914773496723511,0.000343735162157241,0.567916552172621,0.824175824175824
"Unclassified.genus.in.Candidatus.Margulisbacteria",0.00443286025725917,0.0207220497661059,0.213919969660038,0.00887642830297952,2.02816830916339e-05,0.573345370562585,0.113886113886114
"Methanoregula",0.00442828952022654,0.0196330026784204,0.225553349773333,0.00888301310784012,0.000105925068865281,0.578768591279755,0.27972027972028
"Unclassified.genus.in.Candidatus.Yanofskybacteria",0.00435063121263623,0.010753415647271,0.404581330745859,0.00872081562329689,2.32085076667483e-05,0.584096705717027,0.13986013986014
"Streptococcus",0.00431032640131966,0.0038173655949957,1.12913638844815,0.00159410471690668,0.00887576376059986,0.589375459811725,0.032967032967033
"Moraxella",0.00428187292141495,0.00306273286856183,1.39805628018273,0.000142019700097947,0.00864696194770847,0.594619367607194,0.000999000999000999
"Mycobacterium",0.004231378262387,0.00277452849083506,1.52508012671856,0.000983405396801054,0.00900555351057309,0.599801435796264,0.000999000999000999
"Mycolicibacterium",0.00420290733789599,0.00298258106526696,1.40915108287922,0.000811678176641,0.00883341375790522,0.604948636322137,0.000999000999000999
