"","average","sd","ratio","ava","avb","cumsum","p"
"Sulfuricurvum",0.142516664927601,0.148428962751407,0.960167492151058,0.00203094687055689,0.286047644465651,0.175193459243761,0.000999000999000999
"Geobacter",0.0397717449116516,0.0475702475051816,0.836063442960213,0.0317800863592946,0.0667403056953073,0.224084229840815,0.0769230769230769
"Unclassified.genus.in.candidate.division.WWE3",0.0381993409542526,0.0655925115164449,0.582373506839657,0.0765369690626803,0.000206520822315275,0.271042069374929,0.282717282717283
"Pseudomonas",0.0308992485684436,0.0197661029868448,1.56324433749073,0.0291567540426328,0.0700890493233665,0.309026021970848,0.046953046953047
"Rhodococcus",0.0299130243786171,0.106977440702961,0.2796199290435,0.0601273331411627,0.000974587410682525,0.345797624926861,0.390609390609391
"Cupriavidus",0.0278319326519257,0.0457303632894293,0.608609480658971,0.003658700512756,0.0553234992895088,0.380010975072314,0.352647352647353
"Desulfosporosinus",0.0190049247695185,0.0183870033968567,1.03360642075954,0.00347913525004303,0.0375752557908488,0.403373425454737,0.000999000999000999
"Unclassified.genus.in.Candidatus.Woesebacteria",0.0148656969768136,0.0237228276197312,0.62664102336811,0.0298898615908102,0.000203720085685507,0.421647589242954,0.306693306693307
"Unclassified.genus.in.Candidatus.Moranbacteria",0.0132632505985178,0.0252589242941697,0.525091664397569,0.0266612376204364,0.000165314526840164,0.437951891300202,0.27972027972028
"Sulfurimonas",0.0116168406051773,0.0176435122658092,0.65841995800854,0.00914773496723511,0.0182068829988157,0.452232287856901,0.194805194805195
"Unclassified.genus.in.Candidatus.Uhrbacteria",0.0111882946846244,0.034685263349024,0.322566231429211,0.0225291812888923,0.000201696685105077,0.465985879760232,0.175824175824176
"Unclassified.genus.in.Proteobacteria",0.0104886195204706,0.016493874470376,0.635909988238897,0.0280312215885849,0.0156442863702065,0.478879372162797,0.87012987012987
"Unclassified.genus.in.Bacteroidetes",0.00914829976021636,0.00872851781376833,1.0480931534316,0.00198838928979966,0.0193221954841215,0.490125230898022,0.001998001998002
"Paraburkholderia",0.00914351568285136,0.0601281965093214,0.15206702036097,0.0184630390751622,0.000884778710870913,0.501365208643376,0.387612387612388
"Rhodoferax",0.00793027058254472,0.00497978476730375,1.59249263835924,0.0032620421663024,0.0173868477195529,0.511113763570624,0.00599400599400599
"Xanthomonas",0.00767553849911996,0.0138143599859675,0.555620275345126,0.0160251091056368,0.00114860724279545,0.520549180417508,0.444555444555445
"Acidovorax",0.00758953152504314,0.00360043241401783,2.10795000497559,0.00700825793869394,0.0161881836922774,0.529878870265269,0.0609390609390609
"Unclassified.genus.in.Candidatus.Falkowbacteria",0.00757040981413691,0.015358162253914,0.492924198154477,0.0152247115868869,0.000107671391743019,0.539185054099316,0.251748251748252
"Caulobacter",0.00712491059971933,0.0116558127138814,0.611275315983243,0.00448321557168108,0.0114480904325396,0.547943592866705,0.101898101898102
"Unclassified.genus.in.Candidatus.Daviesbacteria",0.00659965609093009,0.00914444005473626,0.721712434159583,0.0133804346704759,0.000242785959257277,0.556056444658294,0.255744255744256
"Unclassified.genus.in.Candidatus.Collierbacteria",0.00633428747976051,0.0109267641613909,0.579703870807643,0.0126806017630537,1.53035036326498e-05,0.563843083055898,0.281718281718282
"Magnetospirillum",0.00589003119113077,0.00993149879452342,0.593065690586274,0.000425986609297486,0.0118111603836438,0.571083604295657,0.037962037962038
"Unclassified.genus.in.Candidatus.Nomurabacteria",0.00563189182406444,0.008774206292076,0.641869091811827,0.011423508281216,0.000206589912309131,0.578006798935706,0.213786213786214
"Unclassified.genus.in.Candidatus.Wolfebacteria",0.00558595130144602,0.0103408142111095,0.540184862372329,0.0112630708373678,0.000122930993198227,0.584873519625281,0.725274725274725
"Unclassified.genus.in.Candidatus.Raymondbacteria",0.00528455270328226,0.0171170073000628,0.308731112316747,0.0105702759450374,7.50750400050963e-05,0.5913697358335,0.185814185814186
"Citrobacter",0.00505996234959844,0.0357287251950232,0.141621687367208,0.0101061987144974,0.000371593974730283,0.597589866708157,0.0969030969030969
"Dechloromonas",0.00494524863382247,0.00763202019038863,0.647960633024826,0.00355705568245596,0.00940938390298428,0.603668981844762,0.127872127872128
"Draconibacterium",0.00479154136768009,0.00570306746932967,0.840169153433367,0.000145820556744499,0.00963907780677225,0.609559147094839,0.001998001998002
"Unclassified.genus.in.Candidatus.Roizmanbacteria",0.00458792585665276,0.00511278093742211,0.897344500538296,0.00933789003604549,0.000205790882395966,0.615199011050322,0.871128871128871
"Burkholderia",0.00446834766096881,0.00932057628012025,0.479406801326147,0.00950925951008825,0.00284478557640771,0.620691879440321,0.44955044955045
