"","average","sd","ratio","ava","avb","cumsum","p"
"Smithella",0.0426589860043847,0.0664294392826311,0.642169894327837,0.000444550093055111,0.0855409221485657,0.0534761785285684,0.000999000999000999
"Unclassified.genus.in.candidate.division.WWE3",0.0382209506758624,0.0655102559204178,0.583434610945398,0.0765369690626803,0.000148804398367052,0.101388953146885,0.333666333666334
"Candidatus.Altiarchaeum",0.0363769659826279,0.109114189229197,0.333384376858791,7.50826646518547e-05,0.0727448435530496,0.146990157240549,0.742257742257742
"Roseovarius",0.0356568829710513,0.0386403583124417,0.922788621232071,0.000261840159617176,0.0715756061017197,0.191688684283273,0.000999000999000999
"Rhodococcus",0.0298761245884751,0.106908095217499,0.279456149019339,0.0601273331411627,0.00052354263213117,0.229140605247143,0.592407592407592
"Pseudodesulfovibrio",0.0291070109612486,0.0833431123346658,0.349243148544403,0.000254741346439984,0.0583323532387485,0.265628385674853,0.001998001998002
"Unclassified.genus.in.Proteobacteria",0.01797883935213,0.0232618636059991,0.772889036607255,0.0280312215885849,0.0418771963712536,0.288166183990831,0.198801198801199
"Sulfurivermis",0.0160406262023139,0.0225634645854522,0.71091148886134,0.000104426150797531,0.0321487977158883,0.308274289476901,0.000999000999000999
"Geobacter",0.0155993854731131,0.0401613158852053,0.388418186239252,0.0317800863592946,0.00259950366155906,0.327829267234938,0.472527472527473
"Pseudomonas",0.0148985410655077,0.0277419240477651,0.537040655141869,0.0291567540426328,0.023511487683074,0.346505684948018,0.347652347652348
"Unclassified.genus.in.Candidatus.Woesebacteria",0.0147679119860916,0.0236551263567814,0.624300701816288,0.0298898615908102,0.000521951150693184,0.365018349496145,0.305694305694306
"Unclassified.genus.in.Candidatus.Moranbacteria",0.0131705811332432,0.0251846944190657,0.522959735547659,0.0266612376204364,0.000519024921508779,0.381528642261517,0.396603396603397
"Hoeflea",0.0119582413932335,0.028444858251468,0.420400808030614,9.63191120384315e-05,0.0239862440070718,0.396519177938256,0.000999000999000999
"Unclassified.genus.in.Candidatus.Uhrbacteria",0.0111918639948468,0.034631039818226,0.323174356114962,0.0225291812888923,0.000253162698950424,0.410549003143065,0.243756243756244
"Paraburkholderia",0.0103804703637278,0.0597971821718382,0.173594640862803,0.0184630390751622,0.00402011266504231,0.423561686715154,0.15984015984016
"Desulfomicrobium",0.00949399015348716,0.0247446593794045,0.383678352888915,0.000236667906573198,0.0191579759410213,0.435463102101449,0.000999000999000999
"Dechloromonas",0.00944475045221646,0.0110775177759864,0.852605307724319,0.00355705568245596,0.0184086305575236,0.447302791898309,0.00599400599400599
"Methanoregula",0.00924590481929409,0.0183047817508951,0.505108716679563,0.00888301310784012,0.011194281088126,0.458893214059865,0.137862137862138
"Xanthomonas",0.00780353738405214,0.0128098051804325,0.609184704539641,0.0160251091056368,0.00691629277235243,0.468675522487474,0.577422577422577
"Unclassified.genus.in.Candidatus.Falkowbacteria",0.00748537600038288,0.0152010833024959,0.492423852394378,0.0152247115868869,0.000945101383954729,0.478058992204939,0.388611388611389
"Bradyrhizobium",0.00739475143299295,0.0165568839066703,0.446627002682177,0.00362950270456138,0.014389679916725,0.487328857357488,0.0909090909090909
"Methanoculleus",0.00682354587133771,0.0150279489932543,0.454057028966537,0.000714931229123179,0.0135716707462989,0.495882674299504,0.000999000999000999
"Acetobacterium",0.00666974435655627,0.00682093733277834,0.977833988373488,0.00130439998460058,0.0133398707015889,0.504243689723416,0.000999000999000999
"Unclassified.genus.in.Candidatus.Daviesbacteria",0.00663367319864724,0.00913913475562666,0.72585352727873,0.0133804346704759,0.000156641436740741,0.512559487296162,0.275724275724276
"Unclassified.genus.in.Candidatus.Collierbacteria",0.00632700310930801,0.0109091445885858,0.579972431195744,0.0126806017630537,4.11137105173931e-05,0.520490851341931,0.293706293706294
"Unclassified.genus.in.Candidatus.Nomurabacteria",0.00558757596951152,0.00870655030397105,0.641766919667717,0.011423508281216,0.000533905006799126,0.52749528904837,0.292707292707293
"Unclassified.genus.in.Candidatus.Wolfebacteria",0.00558740551147356,0.0103262080522355,0.541089767241711,0.0112630708373678,0.000124184617190589,0.534499513073112,0.858141858141858
"Unclassified.genus.in.Candidatus.Raymondbacteria",0.00529363690934115,0.0170869794766401,0.309805306232045,0.0105702759450374,0.000105912460697568,0.541135476534603,0.338661338661339
"Unclassified.genus.in.Gammaproteobacteria",0.00518144349390905,0.00712647386062856,0.727069739571323,0.00381058071052077,0.0131101554252308,0.547630797292754,0.000999000999000999
"Citrobacter",0.00505815092899412,0.0356784553421057,0.141770457282795,0.0101061987144974,0.000420838843058666,0.553971561746826,0.150849150849151
"Unclassified.genus.in.Rhodobacteraceae",0.00480823063365725,0.00393194258513968,1.22286389730852,0.000805184853700258,0.0104034377293882,0.559999032717316,0.000999000999000999
"Burkholderia",0.00460680634728874,0.00910827207803777,0.505782689385933,0.00950925951008825,0.00392323594626365,0.565774003520627,0.589410589410589
"Unclassified.genus.in.Candidatus.Roizmanbacteria",0.00451947928974947,0.00507223007664148,0.891024109998968,0.00933789003604549,0.000432671662122269,0.571439503430305,0.961038961038961
"Sulfurimonas",0.00448469090551963,0.014370158420219,0.312083609266938,0.00914773496723511,0.000491510701097784,0.577061393540031,0.933066933066933
"Unclassified.genus.in.Candidatus.Margulisbacteria",0.00444034106286217,0.020674549343374,0.214773293923587,0.00887642830297952,5.21509486213975e-05,0.582627687857973,0.215784215784216
"Azoarcus",0.00441275286766598,0.0102203683215089,0.431760649797649,0.00121503051495674,0.00922508812498816,0.588159398342828,0.016983016983017
"Unclassified.genus.in.Candidatus.Yanofskybacteria",0.00431134953484586,0.0107244552000752,0.40201105365386,0.00872081562329689,0.000138168365522703,0.593563992287016,0.222777222777223
"Clostridium",0.00426891302369724,0.00417483787913142,1.02253384377776,0.00549596532793653,0.00983289848396993,0.59891538894128,0.051948051948052
"Streptomyces",0.00414407102496623,0.00659827735738277,0.628053475249788,0.0081318439835062,0.00708913840533389,0.604110286962142,0.95004995004995
"Acidovorax",0.00400236900635066,0.00642620980436888,0.622819535650647,0.00700825793869394,0.00351689094025289,0.609127551073831,0.385614385614386
"Unclassified.genus.in.Candidatus.Levybacteria",0.00362714106328642,0.00467279484140507,0.77622518993275,0.0073935602311205,0.000199049709174668,0.613674439343249,0.391608391608392
"Candidatus.Methanoperedens",0.003623318202478,0.00869546807129363,0.41669041537162,0.000164714288993897,0.00720157748085595,0.618216535375292,0.001998001998002
"Rhodanobacter",0.00361333062525019,0.0238385222966054,0.151575277204356,0.00695735964876536,0.000693773767433627,0.622746111244226,0.150849150849151
"Unclassified.genus.in.Betaproteobacteria",0.00355721973657223,0.00592421193101828,0.60045450399017,0.0068739092701046,0.00518617995861169,0.62720534798461,0.440559440559441
"Aeromonas",0.00349778746561697,0.0227524977330464,0.153732021277676,0.00719248342736571,0.00112548020050598,0.631590081999316,0.265734265734266
"Unclassified.genus.in.Ignavibacteria",0.00334404158307798,0.00786821655966095,0.425006296880837,0.00679476808242104,0.000182208738138362,0.635782084235029,0.440559440559441
"Unclassified.genus.in.Candidatus.Magasanikbacteria",0.00329972195815987,0.00417622966879027,0.790119849686258,0.00684661236466791,0.000406981675001319,0.639918528559118,0.24975024975025
"Paracoccus",0.00321410487477537,0.00251355087309115,1.27871089031219,0.000947462415885235,0.00728090696236539,0.643947645568026,0.000999000999000999
"Rhizobium",0.00312576980570572,0.00582507934780769,0.536605532572208,0.0014213277986249,0.00706007817522702,0.647866028066661,0.013986013986014
"Unclassified.genus.in.Candidatus.Staskawiczbacteria",0.00303029934924178,0.00600122141951956,0.504947099499686,0.0061374455124542,0.000142724557358033,0.651664731321783,0.268731268731269
"Sphingobium",0.00300343876265036,0.00573033429767583,0.524129763924685,0.00507981664451763,0.00303535165654199,0.655429762854755,0.296703296703297
"Methanosarcina",0.00297220811880559,0.00963943710490825,0.308338348646125,0.003797533246992,0.00315933915329105,0.659155644477187,0.117882117882118
"Gallionella",0.00295937250682752,0.00947503804354832,0.312333575150402,0.00601711958920549,0.000594905912570737,0.662865435715342,0.356643356643357
"Unclassified.genus.in.Alphaproteobacteria",0.00294246773896671,0.00285551106967376,1.03045222629898,0.00360303934676141,0.00764852380815728,0.666554035582844,0.0629370629370629
"Unclassified.genus.in.Candidatus.Rokubacteria",0.00285999287793443,0.00470687835432484,0.607619883634038,0.00583953508040427,0.000199742288540471,0.670139247142142,0.414585414585415
"Mesorhizobium",0.00282748336752915,0.00505085121062526,0.559803338015797,0.00151617428448855,0.00614341953354233,0.673683705637545,0.020979020979021
"Bacillus",0.00274784072119405,0.00388156866213019,0.707920163309966,0.00595040867883403,0.00469205401891003,0.677128326214311,0.372627372627373
"Acinetobacter",0.00269319405361829,0.00663932889393174,0.405642512465355,0.00595849658286197,0.00134350311022674,0.680504443171441,0.441558441558442
"Unclassified.genus.in.Deltaproteobacteria",0.00256756871957157,0.0033819104513258,0.759206595362398,0.00329471934415534,0.0045169190917513,0.683723079526699,0.117882117882118
"Unclassified.genus.in.Rhizobiales",0.00255240305128275,0.00471614771381899,0.541205069511255,0.00126202899963885,0.00534310001567446,0.68692270460061,0.02997002997003
"Methanobacterium",0.00251820148771456,0.00921703245829881,0.273211741317807,0.00363418585947765,0.00216886290037871,0.690079455497457,0.141858141858142
"Methanothrix",0.00246998431682139,0.0110849943632106,0.222822334039148,0.00469682264898593,0.000475469913799439,0.693175762621952,0.227772227772228
"Unclassified.genus.in.Candidatus.Gottesmanbacteria",0.0024684712055949,0.00358941153068705,0.68770916471715,0.0050335219994772,0.000130336188893717,0.696270172950164,0.304695304695305
"Unclassified.genus.in.Candidatus.Curtissbacteria",0.00235339036140077,0.00283394684252088,0.830428547949532,0.00474778443271734,6.0442915036916e-05,0.699220320970578,0.182817182817183
"Desulfovibrio",0.00234823075345913,0.00236246873610765,0.993973260923665,0.0020294487658981,0.00504954063909666,0.702164001042705,0.018981018981019
"Caulobacter",0.00229785487688868,0.00877517496251279,0.261858582501776,0.00448321557168108,0.00096332301593341,0.705044531246039,0.666333666333666
"Sphingomonas",0.00219778593754034,0.00478785565269761,0.45903345818332,0.00391031925647788,0.00235528875334258,0.707799617669129,0.979020979020979
"Treponema",0.00219470587099726,0.00658049550753289,0.333516810168005,0.00493074722185923,0.00114181477850358,0.710550843002125,0.246753246753247
"Unclassified.genus.in.Candidatus.Shapirobacteria",0.00215523056478382,0.00361795467472435,0.595704136328913,0.00439966695248919,0.000133253976977667,0.713252583133518,0.662337662337662
"Unclassified.genus.in.Candidatus.Giovannonibacteria",0.00215082910094679,0.00253254054132716,0.84927726362069,0.00437542876721604,0.000114561105616197,0.715948805706058,0.170829170829171
