"","average","sd","ratio","ava","avb","cumsum","p"
"Sulfuricurvum",0.143001941046135,0.149350979101571,0.957489143401475,0.286047644465651,5.27236946785832e-05,0.16097494142256,0.000999000999000999
"Candidatus.Altiarchaeum",0.120244863697975,0.134438796589231,0.894420857287021,3.02130713848917e-05,0.240511108524995,0.296332613832759,0.050949050949051
"Unclassified.genus.in.Helicobacteraceae",0.0442715610939775,0.0668097421596086,0.662651279033718,0.000124386628277235,0.0886217330169506,0.346168384603794,0.0689310689310689
"Geobacter",0.0331259808400792,0.0432662804969616,0.765630427658451,0.0667403056953073,0.0017211769145703,0.383457758344366,0.107892107892108
"Unclassified.genus.in.Piscirickettsiaceae",0.0327512362009748,0.0367011180014011,0.892377071448463,3.26544930716495e-06,0.0655054410982322,0.420325288186269,0.044955044955045
"Pseudomonas",0.0319177691071511,0.00698768936021929,4.5677143704839,0.0700890493233665,0.00625351110906425,0.456254597780079,0.04995004995005
"Cupriavidus",0.031038530967299,0.0459312958638642,0.675759966783741,0.0553234992895088,0.0153111076766543,0.491194163409411,0.356643356643357
"Unclassified.genus.in.Zetaproteobacteria",0.0241584421243819,0.0485552991728799,0.497544913447373,6.88882445230084e-05,0.0483857724932867,0.518388925783847,0.0829170829170829
"Desulfosporosinus",0.0187054198183755,0.0183354101988556,1.02018005681394,0.0375752557908488,0.000166762169190892,0.539445310316249,0.001998001998002
"Sulfurimonas",0.0145705867465104,0.0164115938076376,0.887822774393156,0.0182068829988157,0.0215338745615692,0.55584718102411,0.138861138861139
"Unclassified.genus.in.Proteobacteria",0.0142416646622674,0.0145529538821488,0.978609894430898,0.0156442863702065,0.0390074921493441,0.571878789532337,0.391608391608392
"Unclassified.genus.in.Candidatus.Nealsonbacteria",0.0135160428098444,0.0225089974285608,0.600472893239322,4.56170479401613e-05,0.0270741159901887,0.587093577413277,0.102897102897103
"Unclassified.genus.in.Candidatus.Roizmanbacteria",0.0118109905454345,0.0139869907762406,0.844426848804212,0.000205790882395966,0.0238140069687991,0.600389015903726,0.0899100899100899
"Unclassified.genus.in.Candidatus.Wolfebacteria",0.0111959069111005,0.0232787493440423,0.480949674126969,0.000122930993198227,0.0224881436164627,0.612992064827414,0.244755244755245
"Unclassified.genus.in.Flavobacteriales",0.00987309588749514,0.0164098873275211,0.601655312461343,0.00174481821366619,0.0207882730397839,0.624106047060957,0.0699300699300699
"Unclassified.genus.in.Bacteroidetes",0.0091683574882976,0.00887340097407439,1.03324052582375,0.0193221954841215,0.00175706549054747,0.634426716828255,0.000999000999000999
"Rhodoferax",0.00828705348115448,0.005060396935409,1.63762913995297,0.0173868477195529,0.000812740757243938,0.643755317118121,0.002997002997003
"Acidovorax",0.00774073833414029,0.00157626480434019,4.91081086935803,0.0161881836922774,0.000706707023996836,0.652468939400378,0.0649350649350649
"Shewanella",0.00764629806210864,0.013186225229614,0.579870124236643,0.000797046902178801,0.0157084259339242,0.661076251816161,0.116883116883117
"Xanthomonas",0.00731480520903985,0.0155277251270496,0.471080286982756,0.00114860724279545,0.0150291340297457,0.669310408159974,0.538461538461538
"Unclassified.genus.in.Candidatus.Moranbacteria",0.00601786680249853,0.00526445175840554,1.14311367615631,0.000165314526840164,0.0121910734243673,0.676084622194652,0.876123876123876
"Magnetospirillum",0.00590764737768236,0.0100081307784237,0.59028479028457,0.0118111603836438,0.000231302407094945,0.682734764029166,0.02997002997003
"Caulobacter",0.0057989415545623,0.00961886264246302,0.602871853992648,0.0114480904325396,0.00056583946010028,0.689262537500138,0.147852147852148
"Streptomyces",0.0055224137904048,0.00738829857745756,0.747454063003658,0.0047027116566011,0.00967849928875445,0.695479028198923,0.465534465534466
"Unclassified.genus.in.Candidatus.Berkelbacteria",0.00515479331178417,0.00695625710117451,0.741029728604169,1.23117334362278e-05,0.0103213640293925,0.70128169454974,0.108891108891109
"Unclassified.genus.in.Nitrosomonadales",0.00480524848696566,0.00722192349839265,0.665369619054417,8.72074602947313e-05,0.00969406794394975,0.706690884019837,0.0949050949050949
"Draconibacterium",0.00480297676140996,0.00575526040601975,0.834536827627514,0.00963907780677225,3.75777473755766e-05,0.712097516245706,0.000999000999000999
"Dechloromonas",0.00445734778302114,0.00511224233544955,0.871896809764433,0.00940938390298428,0.000494746801699414,0.717115079595006,0.191808191808192
"Flavobacterium",0.003881450682899,0.00313569182865386,1.23782912830605,0.00890901309767609,0.00123529083523522,0.721484365016891,0.004995004995005
"Unclassified.genus.in.Chloroflexi",0.00384827402432232,0.00469671712761304,0.819354012550058,0.000318171980095208,0.00797948915119401,0.725816304017939,0.0929070929070929
"Unclassified.genus.in.Candidatus.Falkowbacteria",0.00344070633479677,0.00400556010019255,0.858982576402079,0.000107671391743019,0.006983580243073,0.729689450750384,0.871128871128871
"Bacteroides",0.00305234466093789,0.00310418844677699,0.983298763355388,0.00626017674684935,0.000187007935108996,0.733125425111301,0.000999000999000999
"Bradyrhizobium",0.00288567643058523,0.00393682010410135,0.732996772592926,0.00303643823166729,0.00416619923043489,0.736373783776783,0.816183816183816
"Unclassified.genus.in.Burkholderiales",0.00281585308780182,0.00158171076603005,1.78025790067128,0.00654519705695647,0.00194908534535641,0.739543543449606,0.051948051948052
"Unclassified.genus.in.Candidatus.Shapirobacteria",0.00273098153676905,0.00384027601852638,0.711141991771987,3.24051214284602e-05,0.00548952238448756,0.742617764608364,0.338661338661339
"Methylobacterium",0.00259840549922619,0.00387893106092671,0.669876689843879,0.00100338105116378,0.0052809856568008,0.745542747094406,0.803196803196803
"Unclassified.genus.in.Candidatus.Pacebacteria",0.00254507746675103,0.00327000682044297,0.778309528542898,1.64423113902205e-05,0.00510632095198384,0.748407699088267,0.141858141858142
"Burkholderia",0.00252946772594252,0.00343024614157032,0.73740123056725,0.00284478557640771,0.00438478031812503,0.751255079452723,0.876123876123876
"Prevotella",0.00243083916998304,0.0022550946179768,1.07793222980768,0.005241569691964,0.000565888948534635,0.753991435268127,0.017982017982018
"Polynucleobacter",0.00241997109792361,0.0105657938887371,0.229038264744426,0.000319186165085151,0.00474085601592385,0.756715557072928,0.161838161838162
"Unclassified.genus.in.Candidatus.Jorgensenbacteria",0.00236555526469666,0.00467977702678384,0.505484609877318,3.03768775565081e-05,0.00475651310367302,0.759378423866068,0.120879120879121
"Unclassified.genus.in.Nitrospirae",0.00225799198817248,0.00233036457466207,0.968943663460862,5.84502987979912e-05,0.00457237240591436,0.761920208441645,0.033966033966034
"Komagataeibacter",0.00225750308610893,0.0105166726615839,0.21465944208336,0.000111232505635063,0.00447936326185877,0.764461442668182,0.235764235764236
"Polaromonas",0.00217505336275997,0.00136660301188672,1.59157659089095,0.00499679699656251,0.000646690271042568,0.766909864592387,0.044955044955045
"Opitutus",0.00214055704224166,0.00336845682876461,0.635471122551602,0.00409887422597057,0.000432120248062561,0.769319454573934,0.141858141858142
"Unclassified.genus.in.Candidatus.Woesearchaeota",0.00213761825306078,0.00303057361779283,0.705351039984836,6.92978137605063e-05,0.00433070593535566,0.771725736408662,0.11988011988012
"Unclassified.genus.in.Candidatus.Kuenenbacteria",0.0020928690201984,0.00309008307373646,0.677285681406537,1.35328136073347e-05,0.00419820169629471,0.774081644765339,0.116883116883117
"Clostridium",0.00207785474415149,0.00198502638744721,1.04676429355867,0.00480420745904077,0.00103537917254285,0.776420651797533,0.723276723276723
"Unclassified.genus.in.Candidatus.Portnoybacteria",0.00207136637972159,0.00324107691913706,0.639098186004512,2.07131267037318e-05,0.0041607434389741,0.778752354984225,0.0819180819180819
"Mycobacterium",0.00201286180462496,0.00272808102401563,0.737830653454018,0.00378516243406905,0.00110596691841184,0.781018200529543,0.0659340659340659
"Unclassified.genus.in.Comamonadaceae",0.00199435844144736,0.000942421906647929,2.11620552045636,0.00460899999929097,0.000646065992753424,0.783263217142178,0.153846153846154
"Unclassified.genus.in.Deltaproteobacteria",0.00193571793258543,0.00179710134266067,1.07713342961479,0.00131548977093694,0.00443555922818991,0.785442223095027,0.457542457542458
"Unclassified.genus.in.Syntrophobacterales",0.00183312833721246,0.00309605676873553,0.592084859594203,4.32420761726919e-05,0.00370949875059761,0.787505745621673,0.124875124875125
"Unclassified.genus.in.Betaproteobacteria",0.00183002470680161,0.00176650019872933,1.03596065718984,0.00322177756326998,0.00385496608198525,0.78956577444243,0.892107892107892
"Paludibacter",0.0018131096895225,0.00182230512358235,0.994953954779113,0.00368171216079746,6.43857683825064e-05,0.79160676230545,0.000999000999000999
"Unclassified.genus.in.Ignavibacteria",0.00177538378686748,0.00146880622209341,1.20872567133949,0.000227605972347853,0.0037316679892135,0.79360528273813,0.802197802197802
"Phenylobacterium",0.00175426216189725,0.00278910977444282,0.628968489505832,0.00338480970334453,0.000324904340257668,0.795580026903736,0.037962037962038
"Unclassified.genus.in.Alphaproteobacteria",0.00171582598336878,0.00204874039595787,0.837502880674426,0.00288773635248361,0.00236856694512796,0.797511504093091,0.901098901098901
"Unclassified.genus.in.Candidatus.Desantisbacteria",0.00170779612525308,0.00163179324439586,1.04657629336206,2.0256525869088e-05,0.00343548879344585,0.799433942202764,0.025974025974026
"Variovorax",0.00165008474663995,0.00126358072765963,1.3058799572673,0.00304584461795427,0.00160232925872708,0.801291415559346,0.166833166833167
"Chryseobacterium",0.00164691499732515,0.00151298120454343,1.08852310417308,0.00364405257067817,0.000463541657899743,0.803145320781072,0.04995004995005
"Brevundimonas",0.00164615572668551,0.00241785243158846,0.680833828061226,0.00315246450274068,0.000680475372495468,0.804998371304282,0.10989010989011
"Unclassified.genus.in.Candidatus.Woesebacteria",0.0015624778254082,0.00339032865254894,0.460863233490205,0.000203720085685507,0.00329568007352916,0.806757226985394,0.998001998001998
"Aquabacterium",0.00155556699030957,0.00252720742790148,0.615528022407433,0.00308777904027395,0.000173279146692363,0.808508303252696,0.0759240759240759
"Sphingobium",0.00154270763887285,0.00216303170415494,0.713215453989641,0.003011293640241,0.00078434133484377,0.810244903958833,0.678321678321678
"Unclassified.genus.in.Actinobacteria.1",0.00152009739716434,0.00223750123569898,0.679372763201835,0.00133168594804897,0.00247310025782561,0.811956052686431,0.529470529470529
"Unclassified.genus.in.Bacteroidales",0.00149924633267018,0.00158934851066285,0.943308734750011,0.00308060645580698,0.000142168099101517,0.813643729712449,0.001998001998002
"Unclassified.genus.in.candidate.division.WWE3",0.00148561714177304,0.00174938510332752,0.849222471911551,0.000206520822315275,0.00312981843602668,0.815316064581639,0.997002997002997
"Unclassified.genus.in.Flavobacteriaceae",0.00144462316350065,0.00140551342615075,1.02782594361763,0.00320311677249301,0.000502821555958342,0.816942253201325,0.001998001998002
"Proteiniphilum",0.00143475060842196,0.00145193194015471,0.988166572235526,0.00293953764273426,7.73810081584754e-05,0.818557328447556,0.000999000999000999
"Unclassified.genus.in.Candidatus.Gottesmanbacteria",0.00139701844887775,0.0016712925933606,0.835891007013116,8.96963367148193e-05,0.00287375564324434,0.820129929220169,0.847152847152847
"Staphylococcus",0.00137799039770732,0.00351431733049835,0.392107561189392,0.00073591558160806,0.00288315005865942,0.821681110427425,0.665334665334665
"Thiomicrospira",0.00137224792882188,0.00160767109024776,0.853562608139203,0.000109897641177663,0.00281810411380319,0.823225827431567,0.0669330669330669
"Unclassified.genus.in.Gammaproteobacteria",0.0013244345496869,0.00100541850891065,1.31729676542548,0.00308683866803835,0.00228249731000047,0.824716721698415,0.919080919080919
"Unclassified.genus.in.Candidatus.Levybacteria",0.00131576971627484,0.00278686844536512,0.472131979700412,0.000186041027662613,0.00276985977005793,0.826197862104297,0.98001998001998
"Unclassified.genus.in.Pseudomonadales",0.00130369193907427,0.00119957980876574,1.08679049909622,0.00289782268782134,0.000290913912916062,0.827665406754323,0.0619380619380619
"Bacillus",0.00128507311121142,0.00112975467107907,1.13747979460355,0.00317021182740679,0.000896843127892019,0.829111992494961,0.916083916083916
"Unclassified.genus.in.Candidatus.Collierbacteria",0.00124696507973722,0.00144624315903059,0.862209837917613,1.53035036326498e-05,0.00250911529604379,0.830515680649109,0.984015984015984
"Sphingomonas",0.00122720078961298,0.00147142252644061,0.834023380477662,0.00200640553852993,0.00171547713460946,0.831897120465776,0.975024975024975
"Pedobacter",0.0012204149014279,0.00110308377632533,1.10636646791546,0.00260979581106599,0.000234245746679742,0.833270921519323,0.000999000999000999
"Unclassified.genus.in.Candidatus.Zambryskibacteria",0.00121602678491538,0.00463026943552147,0.262625491205012,9.45921886821497e-05,0.002475469695449,0.834639782942029,0.643356643356643
"Mucilaginibacter",0.0012145082697092,0.00112294882717436,1.08153483072352,0.00256925862064235,0.000344802466437593,0.836006934997053,0.000999000999000999
"Desulfuromonas",0.00116760472657903,0.0018075438281599,0.645962055463778,0.00237704242799608,0.000181494746943433,0.837321288502262,0.023976023976024
"Sphingopyxis",0.00113388470659011,0.00129409967437963,0.876195805499815,0.00239403471494802,0.000815475062523688,0.838597683933597,0.742257742257742
"Sphingobacterium",0.00112261840833783,0.00106377301440144,1.05531762240603,0.00241756499002746,0.000250603265735617,0.839861397077629,0.000999000999000999
"Paenibacillus",0.00111307768281025,0.000953844455620443,1.16693835798021,0.0025115791236473,0.000541178912580198,0.841114370383294,0.217782217782218
"Unclassified.genus.in.Candidatus.Uhrbacteria",0.00108471085832284,0.00182012593038911,0.595953741558392,0.000201696685105077,0.00234644071218647,0.842335411619529,0.996003996003996
"Unclassified.genus.in.Firmicutes",0.00102401847432164,0.00120669062383355,0.848617246290043,0.00165609791235699,0.00105574479721625,0.843488132433762,0.452547452547453
"Sideroxydans",0.00101601148630294,0.00120066794307308,0.846205224487366,0.000129079733963492,0.00215535719287852,0.844631839912805,0.64035964035964
"Hydrogenophaga",0.0010078187493324,0.000628511142554762,1.60350180147298,0.00225966076452747,0.000422266759673739,0.84576632496211,0.228771228771229
"Bordetella",0.000995443059174225,0.000925966323374793,1.0750316010913,0.0015173134355516,0.00128452605754861,0.846886878899824,0.300699300699301
"Massilia",0.000989162068796953,0.000801040911270899,1.23484587975362,0.00174570816090116,0.00116715985708006,0.848000362429608,0.904095904095904
"Unclassified.genus.in.Candidatus.Tagabacteria",0.000985355631674371,0.00193025163075796,0.510480403680555,1.07841817135185e-05,0.00197847567092267,0.849109561115506,0.0869130869130869
"Curvibacter",0.000962809231646199,0.000651398376094329,1.47806513952189,0.00209425132416889,0.000168632860876491,0.850193379688397,0.300699300699301
"Mesorhizobium",0.000938649005373217,0.00124702742941021,0.752709189257496,0.00105983216357125,0.00151459331462516,0.851250001490528,0.765234765234765
"Unclassified.genus.in.Geobacteraceae",0.00091190348186357,0.00117946186021587,0.773152157456513,0.00183440262029006,4.96703407447254e-05,0.852276516295167,0.0709290709290709
