"","average","sd","ratio","ava","avb","cumsum","p"
"Candidatus.Altiarchaeum",0.133178926646772,0.13839878474817,0.962283931098842,0.0727448435530496,0.240511108524995,0.15765251177213,0.001998001998002
"Unclassified.genus.in.Helicobacteraceae",0.0442958544545002,0.0666106348552154,0.664996731389538,4.31192959180821e-05,0.0886217330169506,0.210088380506576,0.021978021978022
"Smithella",0.042597021612602,0.0664532926704956,0.641006937366018,0.0855409221485657,0.000749043369830461,0.260513230896382,0.000999000999000999
"Roseovarius",0.0355636237409984,0.0386841136700884,0.91933407197325,0.0715756061017197,0.000455716561737328,0.302612193184597,0.000999000999000999
"Unclassified.genus.in.Piscirickettsiaceae",0.0327365539942327,0.0365804832753526,0.894918575783008,4.43953286372399e-05,0.0655054410982322,0.341364570110138,0.004995004995005
"Pseudodesulfovibrio",0.0290997577364358,0.0834594219404805,0.348669533766821,0.0583323532387485,0.00018066844898066,0.375811836014881,0.001998001998002
"Unclassified.genus.in.Zetaproteobacteria",0.0241246385037639,0.0483988359384434,0.498454932561747,0.000152042955391493,0.0483857724932867,0.40436973140775,0.0529470529470529
"Unclassified.genus.in.Proteobacteria",0.0188981577862231,0.0198867510025784,0.950288852300351,0.0418771963712536,0.0390074921493441,0.426740703436726,0.166833166833167
"Sulfurivermis",0.0160488034073379,0.0225957357158844,0.710258059712383,0.0321487977158883,7.40073793865802e-05,0.445738710342238,0.000999000999000999
"Unclassified.genus.in.Candidatus.Nealsonbacteria",0.0133790021009116,0.0224005810963651,0.597261385468372,0.000454910515224004,0.0270741159901887,0.461576300712729,0.028971028971029
"Hoeflea",0.0119590629239088,0.028466186704227,0.420114680205233,0.0239862440070718,0.000157334270797703,0.475733017213349,0.000999000999000999
"Unclassified.genus.in.Candidatus.Roizmanbacteria",0.0117370931925964,0.0139117049109485,0.843684743726796,0.000432671662122269,0.0238140069687991,0.489626973782199,0.033966033966034
"Unclassified.genus.in.Candidatus.Wolfebacteria",0.0111961416949946,0.0232052381392644,0.482483378442483,0.000124184617190589,0.0224881436164627,0.502880571065305,0.236763236763237
"Sulfurimonas",0.010609850640022,0.0160757460409079,0.659991182556825,0.000491510701097784,0.0215338745615692,0.515440137695264,0.266733266733267
"Pseudomonas",0.0100591317524,0.00890509544353505,1.1295928062964,0.023511487683074,0.00625351110906425,0.527347782747989,0.74025974025974
"Unclassified.genus.in.Flavobacteriales",0.0100392604959578,0.0164876002935808,0.608897615007469,0.00092979451835432,0.0207882730397839,0.53923190490885,0.031968031968032
"Desulfomicrobium",0.00954291923334688,0.0247839674196448,0.385044051735752,0.0191579759410213,8.88816435279542e-05,0.55052847580528,0.000999000999000999
"Dechloromonas",0.00905721888777928,0.0103525359423834,0.874879250667356,0.0184086305575236,0.000494746801699414,0.561250091779221,0.010989010989011
"Bradyrhizobium",0.00821064377443269,0.016522859780925,0.496926311988167,0.014389679916725,0.00416619923043489,0.570969562020475,0.0779220779220779
"Cupriavidus",0.00808666107787675,0.0211433988435083,0.382467413954101,0.00252736836001044,0.0153111076766543,0.580542265922486,0.954045954045954
"Xanthomonas",0.00792880835201214,0.0144487419863751,0.548754234762368,0.00691629277235243,0.0150291340297457,0.589928109340266,0.574425574425574
"Shewanella",0.00762481364401387,0.0130754219178823,0.583140925921937,0.0010963254371776,0.0157084259339242,0.598954094554589,0.0709290709290709
