"","average","sd","ratio","ava","avb","cumsum","p"
"Sulfuricurvum",0.142997286469728,0.150462526689823,0.950384721137343,6.45933904140107e-05,0.286047644465651,0.180017445803031,0.000999000999000999
"Smithella",0.0427250434241745,0.0672724633835031,0.635104488156023,0.0855409221485657,0.000135766926430615,0.233803453768096,0.03996003996004
"Candidatus.Altiarchaeum",0.0363671980999588,0.110418128669966,0.329358942575981,0.0727448435530496,3.02130713848917e-05,0.279585651980321,0.619380619380619
"Roseovarius",0.0357080777103852,0.0390981897838141,0.913292352096763,0.0715756061017197,0.000159450680949275,0.324538092006661,0.004995004995005
"Geobacter",0.032876156646815,0.0434491976189617,0.756657394116469,0.00259950366155906,0.0667403056953073,0.365925463008507,0.142857142857143
"Pseudodesulfovibrio",0.0291097619234374,0.0843495761042196,0.345108573959759,0.0583323532387485,0.000142479085464538,0.402571368107559,0.032967032967033
"Cupriavidus",0.0273511627411597,0.0467478598815864,0.585078393116626,0.00252736836001044,0.0553234992895088,0.437003395301648,0.467532467532468
"Pseudomonas",0.0238793151448029,0.00913192675758872,2.614926266788,0.023511487683074,0.0700890493233665,0.467064758184943,0.16983016983017
"Desulfosporosinus",0.0184271075809785,0.0183581856593257,1.00375428830124,0.000952676447872845,0.0375752557908488,0.490262407050593,0.00999000999000999
"Sulfurivermis",0.0160476652041529,0.0228357691211843,0.702742487848406,0.0321487977158883,7.65260031365552e-05,0.510464606494184,0.032967032967033
"Unclassified.genus.in.Proteobacteria",0.0150584164731229,0.0215698048086789,0.698124837321843,0.0418771963712536,0.0156442863702065,0.529421453426407,0.38961038961039
"Hoeflea",0.0119670827857307,0.0287857633488806,0.415729214497139,0.0239862440070718,6.06279332975286e-05,0.544486660116582,0.028971028971029
"Desulfomicrobium",0.00952556300593047,0.025045753049413,0.380326476394517,0.0191579759410213,0.00013179018475837,0.556478268940058,0.031968031968032
"Unclassified.genus.in.Bacteroidetes",0.0090951536089992,0.00857089731239341,1.06116702574977,0.00281183601834463,0.0193221954841215,0.567928040906359,0.001998001998002
"Dechloromonas",0.00901081090307816,0.00866931066214126,1.03939185642847,0.0184086305575236,0.00940938390298428,0.579271634924345,0.050949050949051
"Sulfurimonas",0.00897267585002898,0.014846810768791,0.604350388090763,0.000491510701097784,0.0182068829988157,0.590567221214248,0.384615384615385
"Rhodoferax",0.00764967618338704,0.00495555736317901,1.54365606585971,0.00281662511274131,0.0173868477195529,0.600197300230084,0.00699300699300699
"Bradyrhizobium",0.00721600489934927,0.0168536480588359,0.428156852104558,0.014389679916725,0.00303643823166729,0.609281436040997,0.170829170829171
"Methanoculleus",0.00675555743205126,0.0153110635152353,0.441220652329547,0.0135716707462989,7.66534082900044e-05,0.61778592045407,0.03996003996004
"Acetobacterium",0.0065751812170604,0.00700182536485273,0.939066725380789,0.0133398707015889,0.000253623599197425,0.626063331568706,0.00999000999000999
"Acidovorax",0.0064909958924192,0.00271008028367863,2.39513048063964,0.00351689094025289,0.0161881836922774,0.634234762860296,0.128871128871129
"Magnetospirillum",0.00587003431665433,0.010012701939368,0.586258769331235,0.000542931471068211,0.0118111603836438,0.641624473606199,0.036963036963037
"Caulobacter",0.00583920559905926,0.00956792731211556,0.61028950247827,0.00096332301593341,0.0114480904325396,0.648975374475803,0.27972027972028
"Methanoregula",0.00556890455702645,0.00598047396087064,0.931181139398478,0.011194281088126,9.39525397414913e-05,0.65598599683813,0.312687312687313
"Unclassified.genus.in.Gammaproteobacteria",0.00528503976768471,0.00727625298909463,0.726340848181849,0.0131101554252308,0.00308683866803835,0.662639265466045,0.032967032967033
"Unclassified.genus.in.Rhodobacteraceae",0.00494686329512164,0.00398308824344177,1.24196678375548,0.0104034377293882,0.000509711139144903,0.668866808079682,0.000999000999000999
"Draconibacterium",0.00478559494956923,0.00576401128798851,0.830254263995254,0.000154545616505779,0.00963907780677225,0.674891332046098,0.001998001998002
"Azoarcus",0.00428658009431119,0.0103256143006609,0.415140442931017,0.00922508812498816,0.00148288333880242,0.680287652625729,0.0599400599400599
"Clostridium",0.00394552228693204,0.00361715736780918,1.09077982673498,0.00983289848396993,0.00480420745904077,0.685254619915719,0.207792207792208
"Candidatus.Methanoperedens",0.0035881295941447,0.00882543904771397,0.406566695973513,0.00720157748085595,6.15845579866541e-05,0.689771670138801,0.036963036963037
"Flavobacterium",0.00355921047800714,0.00313187086004038,1.13644867143764,0.00193439555857009,0.00890901309767609,0.694252314458313,0.00699300699300699
"Paracoccus",0.00330648118736111,0.00256628467720248,1.2884311770764,0.00728090696236539,0.000667944587643167,0.698414801122495,0.000999000999000999
"Unclassified.genus.in.Alphaproteobacteria",0.00310991184880726,0.00289991725658451,1.07241399448413,0.00764852380815728,0.00288773635248361,0.702329829173139,0.108891108891109
"Xanthomonas",0.00304407872375148,0.0032379548304628,0.940123900158422,0.00691629277235243,0.00114860724279545,0.70616198074889,0.895104895104895
"Rhizobium",0.00304384712880264,0.00595859527344591,0.510833004947886,0.00706007817522702,0.00123631553755068,0.709993840772737,0.050949050949051
"Bacteroides",0.00298228444550375,0.00286526475287428,1.04084079578059,0.000911126158716345,0.00626017674684935,0.713748200325925,0.001998001998002
"Streptomyces",0.0029757509957886,0.0030517630821829,0.975092402539999,0.00708913840533389,0.0047027116566011,0.717494335003251,0.898101898101898
"Mesorhizobium",0.00277553889116145,0.00520073321414088,0.533682228424007,0.00614341953354233,0.00105983216357125,0.720988425235653,0.0569430569430569
"Unclassified.genus.in.Rhizobiales",0.00253052223918744,0.00484675045758507,0.52210697896097,0.00534310001567446,0.000814585417764616,0.724174067154409,0.0679320679320679
